regime,model_a,model_b,seed,dof,horizon_samples,horizon_s,skill_diff,ci_lo,ci_hi,n_realizations,n_boot,ci_level,bootstrap_seed
id,tcn,dlinear_ols,1,roll,150,15.0,0.18663092482520993,0.17829374047511606,0.19547561449152556,384,1000,0.95,0
id,tcn,dlinear_ols,1,pitch,10,1.0,-0.0026715818018691728,-0.0028792229762391658,-0.0024730797483525965,384,1000,0.95,0
id,tcn,dlinear_ols,1,pitch,20,2.0,7.998231191177456e-05,-0.0004536075623280149,0.000650880816313926,384,1000,0.95,0
id,tcn,dlinear_ols,1,pitch,30,3.0,0.016083975139019893,0.013095873437289813,0.019497971718302105,384,1000,0.95,0
id,tcn,dlinear_ols,1,pitch,50,5.0,0.03755773316060601,0.03341964986957974,0.042723974800353615,384,1000,0.95,0
id,tcn,dlinear_ols,1,pitch,100,10.0,0.2509392454882777,0.23630904520472187,0.26571661976397715,384,1000,0.95,0
id,tcn,dlinear_ols,1,pitch,150,15.0,0.19603858359020812,0.17772528405475066,0.21653330912939855,384,1000,0.95,0
id,tcn,dlinear_ols,1,heave,10,1.0,-0.0019792693284833235,-0.0020884736073593364,-0.0018818232131866896,384,1000,0.95,0
id,tcn,dlinear_ols,1,heave,20,2.0,-0.00016953398341938293,-0.00038626569339130905,6.416019374276246e-05,384,1000,0.95,0
id,tcn,dlinear_ols,1,heave,30,3.0,0.006802647130212754,0.005116703605040565,0.008626024271071005,384,1000,0.95,0
id,tcn,dlinear_ols,1,heave,50,5.0,0.03227270298630348,0.024169586314193615,0.04110333297482166,384,1000,0.95,0
id,tcn,dlinear_ols,1,heave,100,10.0,0.33480249589646827,0.28511549414889886,0.38259962158480865,384,1000,0.95,0
id,tcn,dlinear_ols,1,heave,150,15.0,0.23568195363227026,0.20037074421110007,0.2750557770676648,384,1000,0.95,0
id,tcn,dlinear_ols,2,roll,10,1.0,-0.004238325700043848,-0.005188435970482297,-0.0035853107020712054,384,1000,0.95,0
id,tcn,dlinear_ols,2,roll,20,2.0,-0.0017199149010152924,-0.002157120271680064,-0.0014169868878805346,384,1000,0.95,0
id,tcn,dlinear_ols,2,roll,30,3.0,0.0019019949394222262,0.0016492945658906541,0.0021185944504653787,384,1000,0.95,0
id,tcn,dlinear_ols,2,roll,50,5.0,0.010881093179869397,0.010171986602224832,0.01162561792533358,384,1000,0.95,0
