control,regime,subject_model,null_model,dof,horizon_samples,horizon_s,skill_subject,skill_null,excess,tol,asserted,enforced,passed
untrained,id,untrained,persistence,pitch_rate,150,15.0,0.3684214101368559,0.0,0.3684214101368559,0.0,True,False,False
untrained,id,untrained,persistence,heave_rate,10,1.0,-1.340522379012166,0.0,-1.340522379012166,0.0,True,False,True
untrained,id,untrained,persistence,heave_rate,20,2.0,0.26549587989837997,0.0,0.26549587989837997,0.0,True,False,False
untrained,id,untrained,persistence,heave_rate,30,3.0,0.3520702331678017,0.0,0.3520702331678017,0.0,True,False,False
untrained,id,untrained,persistence,heave_rate,50,5.0,0.7461758764455116,0.0,0.7461758764455116,0.0,True,False,False
untrained,id,untrained,persistence,heave_rate,100,10.0,0.06450932580752544,0.0,0.06450932580752544,0.0,True,False,False
untrained,id,untrained,persistence,heave_rate,150,15.0,0.5444304768441859,0.0,0.5444304768441859,0.0,True,False,False
shuffle,unseen_seastate,shuffled,window_mean,roll,10,1.0,-2.7617917398969487,-2.771720953117133,0.002632541840609459,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,roll,20,2.0,-0.07168872776748758,-0.07011783770316438,-0.0014679598909357328,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,roll,30,3.0,0.44162260017254773,0.4443791815584678,-0.004961263679161609,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,roll,50,5.0,0.7031260515326323,0.7033345267537039,-0.0007027282911973298,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,roll,100,10.0,0.17779189738231138,0.18088725847430853,-0.00377891947600717,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,roll,150,15.0,0.43619780484482984,0.4390819963905973,-0.00514191294843136,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch,10,1.0,-1.2757733029329934,-1.265123413365599,-0.004701681817667724,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch,20,2.0,0.3145172749705165,0.317643566720596,-0.004581611013843023,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch,30,3.0,0.6055850566015532,0.606088073808667,-0.0012769788718445252,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch,50,5.0,0.6993215797728761,0.6999836958602998,-0.0022069336842287512,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch,100,10.0,0.30522584068581315,0.30595848180433105,-0.0010556156934566907,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch,150,15.0,0.5222421409217719,0.5220176049071545,0.0004697579177026512,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave,10,1.0,-2.4165226591065854,-2.404669722582315,-0.0034813763125547403,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave,20,2.0,0.026975400963677454,0.03280858245541718,-0.006031051750385208,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave,30,3.0,0.4892534891168445,0.4909022582281768,-0.003238610145065657,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave,50,5.0,0.7067395620377573,0.7070663717286845,-0.0011156441575375098,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave,100,10.0,0.25384105996819295,0.2541331758804882,-0.0003916462066000381,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave,150,15.0,0.48407984253294056,0.48397178910779326,0.00020939441462020092,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,roll_rate,10,1.0,-2.6609386708201126,-2.6465451553441075,-0.003947165018623355,0.02,True,True,True
