model,dof,horizon_samples,horizon_s,n_windows,rmse,mae,rmse_persistence,skill,signal_std,nrmse,n_realizations,skill_ci_lo,skill_ci_hi,seed,deterministic,n_params,fit_time_s,best_epoch,epochs_run,best_val_loss,val_loss_name,regime
damped_persistence,pitch_rate,50,5.0,523680,0.06545347546579286,0.04875298188618765,0.11925019058361906,0.6987359848228598,0.06578308851738435,0.9949893953138977,480,0.697882364046298,0.6995307830713189,0,True,6,0.1428946160012856,,,,,unseen_heading
damped_persistence,pitch_rate,100,10.0,523680,0.06632808503471099,0.04962104372198045,0.08393345585175448,0.3755111223676848,0.06580276410079416,1.0079832654614957,480,0.367750982192126,0.3837215053828582,0,True,6,0.1428946160012856,,,,,unseen_heading
damped_persistence,pitch_rate,150,15.0,523680,0.06578432624343186,0.04905838741920752,0.09491203608083554,0.519600792955822,0.06580895137545853,0.9996258087765877,480,0.5127444356008831,0.5257655302209565,0,True,6,0.1428946160012856,,,,,unseen_heading
damped_persistence,heave_rate,10,1.0,523680,0.32359683493397684,0.22316727642704037,0.2706847189276793,-0.42916065735373077,0.4491058818542492,0.7205357311240815,480,-0.4469104345451337,-0.4093195752370878,0,True,6,0.1428946160012856,,,,,unseen_heading
damped_persistence,heave_rate,20,2.0,523680,0.44309108222576965,0.3042109685525608,0.5128844770088472,0.2536424867761665,0.44918603230426235,0.9864311228752451,480,0.2442108084252829,0.26403404256420776,0,True,6,0.1428946160012856,,,,,unseen_heading
damped_persistence,heave_rate,30,3.0,523680,0.47443089125737226,0.323781196765731,0.7022250494422713,0.5435499241138895,0.449227566067434,1.0561036924126668,480,0.5380915990050108,0.5496008740297835,0,True,6,0.1428946160012856,,,,,unseen_heading
damped_persistence,heave_rate,50,5.0,523680,0.46090484355227523,0.31190882883769444,0.864856063307158,0.7159891869499602,0.44938743218437077,1.0256291354476046,480,0.7147007789022922,0.7173887718790353,0,True,6,0.1428946160012856,,,,,unseen_heading
damped_persistence,heave_rate,100,10.0,523680,0.4431925079081956,0.3038899354241495,0.4407535771037815,-0.011097714918496537,0.44966469020344285,0.9856066477171711,480,-0.04649820708570634,0.01867323567413237,0,True,6,0.1428946160012856,,,,,unseen_heading
damped_persistence,heave_rate,150,15.0,523680,0.4563023763951313,0.3086092807593561,0.6919525909485054,0.5651366757494003,0.4497908308267742,1.01447683038889,480,0.5549684706699384,0.5758860755307542,0,True,6,0.1428946160012856,,,,,unseen_heading
ar20,roll,10,1.0,523680,0.007822677382126879,0.005710024389461188,2.697897513410246,0.9999915926342003,5.056322481397262,0.0015471080831785007,480,0.9999907424898901,0.9999922877946573,0,True,108900,0.05906437300291145,,,,,unseen_heading
ar20,roll,20,2.0,523680,0.06109001638913272,0.04455039314872553,5.19022115425725,0.9998614620501655,5.056996988280291,0.012080295189162711,480,0.9998475335523028,0.9998728402826363,0,True,108900,0.05906437300291145,,,,,unseen_heading
ar20,roll,30,3.0,523680,0.20533717780581773,0.14937875058283354,7.290482390738133,0.9992067270475529,5.057530912723518,0.04060028131300974,480,0.9991289594890695,0.999270882018262,0,True,108900,0.05906437300291145,,,,,unseen_heading
ar20,roll,50,5.0,523680,0.7347827793997163,0.5267355637965441,9.760571515330518,0.994332814305155,5.058598032252167,0.14525423342889718,480,0.9938418133644885,0.9947348037852375,0,True,108900,0.05906437300291145,,,,,unseen_heading
ar20,roll,100,10.0,523680,1.4092395818952175,1.0327916987044785,5.028820623687556,0.9214696783525562,5.062743782240931,0.2783549084270355,480,0.9126562334239586,0.9282433016408563,0,True,108900,0.05906437300291145,,,,,unseen_heading
ar20,roll,150,15.0,523680,2.1793781005406077,1.5593044426324847,7.375354928320517,0.9126828976086071,5.066780440794619,0.43013075581361043,480,0.9069993973528001,0.9175256847973821,0,True,108900,0.05906437300291145,,,,,unseen_heading
ar20,pitch,10,1.0,523680,0.012517349692199647,0.007532896093259943,0.06420293830876847,0.9619885040771827,0.09332436934600122,0.13412734294288584,480,0.9586648026357515,0.965525408850426,0,True,108900,0.05906437300291145,,,,,unseen_heading
ar20,pitch,20,2.0,523680,0.13401290818279762,0.08011904920869267,0.11934868234825846,-0.2608342752676791,0.09333665010532012,1.4358015638184876,480,-0.371187994691033,-0.14364721275202116,0,True,108900,0.05906437300291145,,,,,unseen_heading
ar20,pitch,30,3.0,523680,0.475318392270126,0.2829045773387486,0.15817580952239704,-8.030028216538215,0.09335358633520026,5.091592202611509,480,-8.806211480173177,-7.20694373477328,0,True,108900,0.05906437300291145,,,,,unseen_heading
ar20,pitch,50,5.0,523680,0.8932936840932111,0.5309928222586261,0.1747531704357987,-25.129939219826984,0.09335704034097117,9.568573305565423,480,-27.064809671672972,-22.96105066190893,0,True,108900,0.05906437300291145,,,,,unseen_heading
ar20,pitch,100,10.0,523680,0.7451702688303757,0.4562934592526557,0.10637667867111276,-48.07024029833449,0.0933970173286122,7.978523192111538,480,-51.65816471711052,-44.193706265072755,0,True,108900,0.05906437300291145,,,,,unseen_heading
ar20,pitch,150,15.0,523680,0.4280564193670679,0.28571225883190016,0.13937788113765479,-8.432228490842297,0.09341040339836806,4.5825347476718665,480,-9.038204763692365,-7.81891210688467,0,True,108900,0.05906437300291145,,,,,unseen_heading
ar20,heave,10,1.0,523680,0.0034545283890384036,0.002309900343048678,0.4420519563766116,0.9999389295812132,0.7795114815459023,0.004431658122838028,480,0.999938065566986,0.9999399109122893,0,True,108900,0.05906437300291145,,,,,unseen_heading
ar20,heave,20,2.0,523680,0.03000219197770349,0.020056152366458725,0.843269727432346,0.9987341770899877,0.7797270150985163,0.03847781517985855,480,0.998717803896027,0.9987527522525413,0,True,108900,0.05906437300291145,,,,,unseen_heading
ar20,heave,30,3.0,523680,0.10622745171859706,0.07142489578545512,1.1678733575159437,0.9917266380512189,0.7799869447915249,0.13619132015983879,480,0.9916559586274023,0.9918021272966636,0,True,108900,0.05906437300291145,,,,,unseen_heading
ar20,heave,50,5.0,523680,0.336653334536109,0.23010669318612345,1.4953025370587927,0.9493117029559744,0.7803116436734177,0.43143446245562866,480,0.9486432967881278,0.9498654416335727,0,True,108900,0.05906437300291145,,,,,unseen_heading
ar20,heave,100,10.0,523680,0.5598126198995877,0.398862039231713,0.809685004759201,0.5219721751540435,0.7809870809852986,0.7168013831846288,480,0.4849180682413179,0.5514309122242547,0,True,108900,0.05906437300291145,,,,,unseen_heading
ar20,heave,150,15.0,523680,0.6328480517368581,0.4550751917175286,1.150392565012314,0.6973736342175535,0.7811825468654663,0.8101154516011556,480,0.6886081955679417,0.7046920131638886,0,True,108900,0.05906437300291145,,,,,unseen_heading
ar20,roll_rate,10,1.0,523680,0.02202575679677354,0.016078023374371288,1.4963658010006886,0.999783336312098,2.7329053966256955,0.008059465513869829,480,0.9997647306822064,0.999799258040024,0,True,108900,0.05906437300291145,,,,,unseen_heading
ar20,roll_rate,20,2.0,523680,0.09394586755070031,0.06848472909229802,2.869237261280038,0.9989279317401065,2.733103738947202,0.034373326636656855,480,0.998837204593244,0.9990055215694303,0,True,108900,0.05906437300291145,,,,,unseen_heading
ar20,roll_rate,30,3.0,523680,0.20278187078194565,0.14723554742834086,4.008853145998577,0.9974413083247212,2.7334550855651965,0.07418518484272678,480,0.9972396923099802,0.9976127986875282,0,True,108900,0.05906437300291145,,,,,unseen_heading
ar20,roll_rate,50,5.0,523680,0.3732325499243161,0.2685388588785286,5.283471224976342,0.9950097726647468,2.7343446430162044,0.1364979907992177,480,0.994678262930055,0.9952884848840088,0,True,108900,0.05906437300291145,,,,,unseen_heading
ar20,roll_rate,100,10.0,523680,1.0080987104480765,0.7296851348153671,2.642983769920173,0.8545153659534471,2.7365812696344305,0.3683788680548649,480,0.8419011682555166,0.8644663916486048,0,True,108900,0.05906437300291145,,,,,unseen_heading
ar20,roll_rate,150,15.0,523680,1.498152644779885,1.0730706794368954,4.094001103935016,0.8660890103192526,2.7388693489929,0.5469967544566393,480,0.858823247927191,0.8724543601148224,0,True,108900,0.05906437300291145,,,,,unseen_heading
ar20,pitch_rate,10,1.0,523680,0.04129379771892644,0.02478053059736792,0.04871387351147248,0.28143787210716364,0.06577974949658247,0.627758512839454,480,0.21169983185722258,0.35487908273298874,0,True,108900,0.05906437300291145,,,,,unseen_heading
