experiment,arm,control,regime,subject_model,null_model,dof,horizon_samples,horizon_s,skill_subject,skill_null,excess,tol,asserted,enforced,passed
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,roll,50,5.0,0.7081800251248935,0.7076553205777212,0.0017948147652601,0.02,True,True,True
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,roll,100,10.0,0.2263846378382555,0.2234118694669118,0.0038279858453451,0.02,True,True,True
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,roll,150,15.0,0.3613597106306955,0.3598155413360776,0.0024120693242704,0.02,True,True,True
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,pitch,10,1.0,-1.402347771542476,-1.4106808001695277,0.0034567117415402,0.02,True,True,True
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,pitch,20,2.0,0.2619165179114345,0.2590736834967171,0.0038368652204633,0.02,True,True,True
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,pitch,30,3.0,0.5754564066069887,0.5745014612642354,0.0022442975846418,0.02,True,True,True
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,pitch,50,5.0,0.6963191292900262,0.6952712209283369,0.0034388230900986,0.02,True,True,True
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,pitch,100,10.0,0.3094143510469082,0.308150815659111,0.0018263162209273,0.02,True,True,True
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,pitch,150,15.0,0.5110601193915537,0.5108980121482962,0.0003314385287401,0.02,True,True,True
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,heave,10,1.0,-2.702652445481613,-2.720246036516437,0.004729147175249,0.02,True,True,True
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,heave,20,2.0,-0.0760788292718415,-0.0830184125925275,0.0064076318924939,0.02,True,True,True
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,heave,30,3.0,0.4320307742915696,0.4297969449014116,0.0039176033347836,0.02,True,True,True
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,heave,50,5.0,0.6909139716257264,0.6909915525766708,-0.0002510641750776,0.02,True,True,True
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,heave,100,10.0,0.2854674785809136,0.2867089129907052,-0.0017404316868681,0.02,True,True,True
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,heave,150,15.0,0.4530396423674548,0.4541478933096211,-0.002030313575019,0.02,True,True,True
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,roll_rate,10,1.0,-3.446812449884576,-3.450161018503483,0.0007524601031251,0.02,True,True,True
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,roll_rate,20,2.0,-0.25152040803299,-0.2515318501844503,9.142517194971056e-06,0.02,True,True,True
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,roll_rate,30,3.0,0.3755699982089964,0.3775269471043667,-0.003143829096323,0.02,True,True,True
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,roll_rate,50,5.0,0.7138980937621802,0.7143720025464866,-0.0016591818327738,0.02,True,True,True
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,roll_rate,100,10.0,0.1469456210416342,0.1483350769801881,-0.0016314584539036,0.02,True,True,True
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,roll_rate,150,15.0,0.4035319058307367,0.405022994037119,-0.0025061274493611,0.02,True,True,True
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,pitch_rate,10,1.0,-0.8253702822154563,-0.8263659642029386,0.0005451711250635,0.02,True,True,True
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,pitch_rate,20,2.0,0.4133713856334403,0.4132918092711489,0.0001356319266525,0.02,True,True,True
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,pitch_rate,30,3.0,0.6393673826002906,0.638584000199518,0.0021675365816816,0.02,True,True,True
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,pitch_rate,50,5.0,0.6746722623253931,0.6732579845081277,0.004328423496857,0.02,True,True,True
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,pitch_rate,100,10.0,0.3949367420183712,0.3973356541846095,-0.0039805111798882,0.02,True,True,True
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,pitch_rate,150,15.0,0.5156891731104438,0.5157135601653577,-5.035667511621433e-05,0.02,True,True,True
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,heave_rate,10,1.0,-2.159642370489562,-2.156658936021811,-0.0009451241100855,0.02,True,True,True
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,heave_rate,20,2.0,0.0704583022955079,0.0715940133949282,-0.0012232914434053,0.02,True,True,True
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,heave_rate,30,3.0,0.502367942524317,0.5010106912815555,0.0027200006474034,0.02,True,True,True
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,heave_rate,50,5.0,0.7104833548191272,0.7077185611258547,0.0094593543261668,0.02,True,True,True
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,heave_rate,100,10.0,0.1386361594132973,0.1375917767565697,0.0012110073032464,0.02,True,True,True
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,heave_rate,150,15.0,0.5247363668723669,0.52510063525281,-0.000767043309559,0.02,True,True,True
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,roll,10,1.0,-3.932322358921266,0.0,-3.932322358921266,0.0,True,False,True
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,roll,20,2.0,-0.1000739719551133,0.0,-0.1000739719551133,0.0,True,False,True
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,roll,30,3.0,-1.0859009229232743,0.0,-1.0859009229232743,0.0,True,False,True
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,roll,50,5.0,0.6522647817451516,0.0,0.6522647817451516,0.0,True,False,False
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,roll,100,10.0,0.030427192833647,0.0,0.030427192833647,0.0,True,False,False
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,roll,150,15.0,0.5565954803181707,0.0,0.5565954803181707,0.0,True,False,False
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,pitch,10,1.0,-1.2170606045294128,0.0,-1.2170606045294128,0.0,True,False,True
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,pitch,20,2.0,0.2130357408262118,0.0,0.2130357408262118,0.0,True,False,False
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,pitch,30,3.0,0.1751704522658097,0.0,0.1751704522658097,0.0,True,False,False
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,pitch,50,5.0,0.6908567355756509,0.0,0.6908567355756509,0.0,True,False,False
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,pitch,100,10.0,0.1034595042907543,0.0,0.1034595042907543,0.0,True,False,False
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,pitch,150,15.0,0.4574044036568619,0.0,0.4574044036568619,0.0,True,False,False
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,heave,10,1.0,-2.674433292765979,0.0,-2.674433292765979,0.0,True,False,True
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,heave,20,2.0,-0.0437586173431938,0.0,-0.0437586173431938,0.0,True,False,True
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,heave,30,3.0,-0.4010322836456228,0.0,-0.4010322836456228,0.0,True,False,True
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,heave,50,5.0,0.6647673399267401,0.0,0.6647673399267401,0.0,True,False,False
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,heave,100,10.0,0.0538553408220356,0.0,0.0538553408220356,0.0,True,False,False
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,heave,150,15.0,0.4478067084106215,0.0,0.4478067084106215,0.0,True,False,False
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,roll_rate,10,1.0,-3.813783483479257,0.0,-3.813783483479257,0.0,True,False,True
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,roll_rate,20,2.0,-0.13690184530243,0.0,-0.13690184530243,0.0,True,False,True
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,roll_rate,30,3.0,-0.986527702772234,0.0,-0.986527702772234,0.0,True,False,True
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,roll_rate,50,5.0,0.6580286593864437,0.0,0.6580286593864437,0.0,True,False,False
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,roll_rate,100,10.0,-0.1217030310081521,0.0,-0.1217030310081521,0.0,True,False,True
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,roll_rate,150,15.0,0.6008890356817431,0.0,0.6008890356817431,0.0,True,False,False
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,pitch_rate,10,1.0,-0.660915840988805,0.0,-0.660915840988805,0.0,True,False,True
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,pitch_rate,20,2.0,0.3595854561614833,0.0,0.3595854561614833,0.0,True,False,False
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,pitch_rate,30,3.0,0.3948760637017418,0.0,0.3948760637017418,0.0,True,False,False
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,pitch_rate,50,5.0,0.6765664589109892,0.0,0.6765664589109892,0.0,True,False,False
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,pitch_rate,100,10.0,0.2517312558846486,0.0,0.2517312558846486,0.0,True,False,False
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,pitch_rate,150,15.0,0.4266379386674411,0.0,0.4266379386674411,0.0,True,False,False
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,heave_rate,10,1.0,-2.1298388666084205,0.0,-2.1298388666084205,0.0,True,False,True
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,heave_rate,20,2.0,-0.0074652359100475,0.0,-0.0074652359100475,0.0,True,False,True
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,heave_rate,30,3.0,-0.1142340297932469,0.0,-0.1142340297932469,0.0,True,False,True
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,heave_rate,50,5.0,0.6909211613614207,0.0,0.6909211613614207,0.0,True,False,False
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,heave_rate,100,10.0,-0.1961385392258601,0.0,-0.1961385392258601,0.0,True,False,True
e02_deep,reference,untrained,unseen_seastate,untrained,persistence,heave_rate,150,15.0,0.525494575734866,0.0,0.525494575734866,0.0,True,False,False
e02_deep,reference,shuffle,unseen_heading,shuffled,window_mean,roll,10,1.0,-3.399985535098184,-3.3914080297037987,-0.0019532471900507,0.02,True,True,True
e02_deep,reference,shuffle,unseen_heading,shuffled,window_mean,roll,20,2.0,-0.2383267830448179,-0.236239641064424,-0.0016882988629913,0.02,True,True,True
e02_deep,reference,shuffle,unseen_heading,shuffled,window_mean,roll,30,3.0,0.383841075014975,0.3841767306616883,-0.0005450519060021,0.02,True,True,True
e02_deep,reference,shuffle,unseen_heading,shuffled,window_mean,roll,50,5.0,0.7157547072206739,0.715972521215032,-0.0007668764842396,0.02,True,True,True
e02_deep,reference,shuffle,unseen_heading,shuffled,window_mean,roll,100,10.0,0.11773394781477,0.1168940779134524,0.00095104095705,0.02,True,True,True
e02_deep,reference,shuffle,unseen_heading,shuffled,window_mean,roll,150,15.0,0.4162680824161695,0.4158288541685238,0.000751882818554,0.02,True,True,True
e02_deep,reference,shuffle,unseen_heading,shuffled,window_mean,pitch,10,1.0,-1.590736146945129,-1.3382493183345203,-0.1079811406896718,0.02,True,True,True
e02_deep,reference,shuffle,unseen_heading,shuffled,window_mean,pitch,20,2.0,0.1911389148324609,0.2908894046908976,-0.1406698623857896,0.02,True,True,True
e02_deep,reference,shuffle,unseen_heading,shuffled,window_mean,pitch,30,3.0,0.542508809497505,0.5997991964814176,-0.1431541028409064,0.02,True,True,True
e02_deep,reference,shuffle,unseen_heading,shuffled,window_mean,pitch,50,5.0,0.6689360712329451,0.7144225746413116,-0.1592790583892793,0.02,True,True,True
e02_deep,reference,shuffle,unseen_heading,shuffled,window_mean,pitch,100,10.0,0.1448043564305711,0.2246151920429719,-0.1029306156032192,0.02,True,True,True
e02_deep,reference,shuffle,unseen_heading,shuffled,window_mean,pitch,150,15.0,0.5241356725966029,0.5364592149871525,-0.0265856701049684,0.02,True,True,True
e02_deep,reference,shuffle,unseen_heading,shuffled,window_mean,heave,10,1.0,-2.597426125186106,-2.592337729181344,-0.0014164581362792,0.02,True,True,True
