control,regime,subject_model,null_model,dof,horizon_samples,horizon_s,skill_subject,skill_null,excess,tol,passed,shuffle_seed
shuffle,unseen_heading,shuffled,window_mean,heave_rate,20,2.0,0.03529471035276022,0.03387594495282398,0.00146851265375747,0.02,True,202
shuffle,unseen_heading,shuffled,window_mean,heave_rate,30,3.0,0.4982656093319131,0.49586385035358727,0.004764107830811937,0.02,True,202
shuffle,unseen_heading,shuffled,window_mean,heave_rate,50,5.0,0.7288246350359935,0.7276649948576983,0.004258138529379396,0.02,True,202
shuffle,unseen_heading,shuffled,window_mean,heave_rate,100,10.0,-0.009857070686911662,-0.01199284769492115,0.002110466504653963,0.02,True,202
shuffle,unseen_heading,shuffled,window_mean,heave_rate,150,15.0,0.5235017029678822,0.5228773563556022,0.001308566299664804,0.02,True,202
shuffle,unseen_heading,shuffled,window_mean,roll,10,1.0,-3.8215692898683526,-3.831827705369241,0.002123092156098405,0.02,True,303
shuffle,unseen_heading,shuffled,window_mean,roll,20,2.0,-0.279327054373371,-0.28211958681956584,0.002178059266001897,0.02,True,303
shuffle,unseen_heading,shuffled,window_mean,roll,30,3.0,0.4025708448286883,0.4016476833058852,0.0015428393891805392,0.02,True,303
shuffle,unseen_heading,shuffled,window_mean,roll,50,5.0,0.7559744366692533,0.7556018265526472,0.0015246027061099898,0.02,True,303
shuffle,unseen_heading,shuffled,window_mean,roll,100,10.0,2.3464265608952317e-05,-0.0013950307415515617,0.001416518919721499,0.02,True,303
shuffle,unseen_heading,shuffled,window_mean,roll,150,15.0,0.4205163561599844,0.419541200518053,0.001679973915119759,0.02,True,303
shuffle,unseen_heading,shuffled,window_mean,pitch,10,1.0,-1.6216627774881056,-1.4023343245926627,-0.09129805566618288,0.02,True,303
shuffle,unseen_heading,shuffled,window_mean,pitch,20,2.0,0.17759903414773615,0.25093167631496127,-0.09789846913625389,0.02,True,303
shuffle,unseen_heading,shuffled,window_mean,pitch,30,3.0,0.5963066448158207,0.5760981420139681,0.04767259784579314,0.02,False,303
shuffle,unseen_heading,shuffled,window_mean,pitch,50,5.0,0.7277805642951112,0.7189674736669598,0.03135968189570826,0.02,False,303
shuffle,unseen_heading,shuffled,window_mean,pitch,100,10.0,0.17023475124139986,0.19278467877459515,-0.027935455311927315,0.02,True,303
shuffle,unseen_heading,shuffled,window_mean,pitch,150,15.0,0.5311317953273489,0.5312846613004749,-0.00032613819199966976,0.02,True,303
shuffle,unseen_heading,shuffled,window_mean,heave,10,1.0,-3.0702923489448217,-3.0652928912021986,-0.001229790294677846,0.02,True,303
shuffle,unseen_heading,shuffled,window_mean,heave,20,2.0,-0.1462952018516932,-0.1403035492883149,-0.005254436476250346,0.02,True,303
shuffle,unseen_heading,shuffled,window_mean,heave,30,3.0,0.42626875626661465,0.42632554948464185,-9.899903678145527e-05,0.02,True,303
shuffle,unseen_heading,shuffled,window_mean,heave,50,5.0,0.722753831396971,0.7203563272721978,0.00857342525002136,0.02,True,303
shuffle,unseen_heading,shuffled,window_mean,heave,100,10.0,0.1436825449157142,0.14006464938934549,0.004207171531905973,0.02,True,303
shuffle,unseen_heading,shuffled,window_mean,heave,150,15.0,0.44896775119714205,0.44722680087015176,0.0031494839650887396,0.02,True,303
shuffle,unseen_heading,shuffled,window_mean,roll_rate,10,1.0,-3.47025296882188,-3.473722523197466,0.0007755408069221037,0.02,True,303
shuffle,unseen_heading,shuffled,window_mean,roll_rate,20,2.0,-0.19732105786772003,-0.1981672727205852,0.0007062576921699204,0.02,True,303
shuffle,unseen_heading,shuffled,window_mean,roll_rate,30,3.0,0.4331207923914234,0.43200401510524067,0.00196617109254682,0.02,True,303
shuffle,unseen_heading,shuffled,window_mean,roll_rate,50,5.0,0.7571714255754184,0.7564240162457807,0.0030684853166470516,0.02,True,303
