experiment,model,train_seed,regime,observation_mode,threshold_set,rule,group_level,ss,heading_deg,speed_kn,scorable,base_rate,n_true_onsets,n_pred_onsets,n_matched,precision,recall,f1,f1_ci_lo,f1_ci_hi,n_boot,ci_level,bootstrap_seed,false_alarms_per_min,lead_p10,lead_p50,lead_p90,n_realizations,duration_s,n_excluded_true,n_excluded_pred
deep,ar10,0,id,ideal,strict,point,cell,SS3,135.0,0.0,True,0.9342887931034483,33,491,33,0.06720977596741344,1.0,0.12595419847328243,0.10147240209682393,0.1559092162477463,1000,0.95,0,5.922413793103448,0.4,1.4,3.2600000000000002,8,4640.0,17,0
deep,ar10,0,id,ideal,strict,point,cell,SS3,135.0,6.0,True,0.9820258620689655,10,198,10,0.050505050505050504,1.0,0.09615384615384615,0.0459469891919712,0.15001106194690264,1000,0.95,0,2.4310344827586206,0.48,2.0,3.679999999999999,8,4640.0,16,0
deep,ar10,0,id,ideal,strict,point,cell,SS3,135.0,12.0,True,0.9934913793103448,5,247,5,0.020242914979757085,1.0,0.03968253968253968,0.014598540145985401,0.05813953488372093,1000,0.95,0,3.1293103448275863,0.98,2.3,4.24,8,4640.0,13,0
deep,ar10,0,id,ideal,strict,point,cell,SS3,180.0,0.0,True,0.7330818965517242,91,1866,91,0.04876741693461951,1.0,0.09299948901379664,0.08488238906076566,0.10213310035584916,1000,0.95,0,22.95258620689655,0.6,1.3,3.1,8,4640.0,9,0
deep,ar10,0,id,ideal,strict,point,cell,SS3,180.0,6.0,True,0.8950646551724138,53,1082,53,0.048983364140480594,1.0,0.0933920704845815,0.07832409538572345,0.106181377728059,1000,0.95,0,13.306034482758621,0.72,1.2,4.2,8,4640.0,16,0
deep,ar10,0,id,ideal,strict,point,cell,SS3,180.0,12.0,True,0.9848922413793103,11,1561,9,0.005765534913516977,0.8181818181818182,0.011450381679389315,0.005009235969725912,0.01804298755684773,1000,0.95,0,20.06896551724138,0.2,2.6,8.54,8,4640.0,15,0
deep,ar10,0,id,ideal,strict,point,cell,SS4,45.0,0.0,True,0.44765086206896554,151,4105,151,0.03678440925700365,1.0,0.07095864661654136,0.062395701717491266,0.08066305880066847,1000,0.95,0,51.12931034482759,0.8,1.9,7.3,8,4640.0,14,0
deep,ar10,0,id,ideal,strict,point,cell,SS4,45.0,6.0,True,0.19607758620689655,93,2675,93,0.034766355140186916,1.0,0.06719653179190752,0.052062911587583624,0.07679012542729384,1000,0.95,0,33.38793103448276,1.12,2.6,9.9,8,4640.0,8,0
deep,ar10,0,id,ideal,strict,point,cell,SS4,45.0,12.0,True,0.1153448275862069,52,998,51,0.05110220440881764,0.9807692307692307,0.09714285714285713,0.07971761217774886,0.1147906204357656,1000,0.95,0,12.245689655172415,0.8,2.0,5.3,8,4640.0,2,0
deep,ar10,0,id,ideal,strict,point,cell,SS4,90.0,0.0,True,0.5360129310344828,157,2975,151,0.050756302521008406,0.9617834394904459,0.09642401021711366,0.08659068365706203,0.10546310102898958,1000,0.95,0,36.51724137931034,0.7,2.2,7.8,8,4640.0,13,0
