experiment,model,dof,horizon_samples,horizon_s,n_windows,rmse,mae,rmse_persistence,skill,signal_std,nrmse,n_realizations,skill_ci_lo,skill_ci_hi,regime,phase_lag_s,phase_lag_raw_s,phase_lag_std_s,dominant_period_s,phase_lag_identified,n_realizations_phase,seed,deterministic,n_params,fit_time_s,best_epoch,epochs_run,best_val_loss,val_loss_name
deep,transformer,roll_rate,100,10.0,434304,0.39272402720060795,0.23442509296356653,1.958738621708589,0.9598003777725999,1.972726817260997,0.19907674177911755,384,0.9546482906565886,0.964219841234321,id,1.3835370154262523,1.3875,3.4117996850476895,9.0,True,32,2,False,2712708,,,,,mse
deep,transformer,roll_rate,150,15.0,434304,0.6533264048178499,0.38830093518261594,2.8980935747304644,0.9491798884603136,1.9741281062750022,0.3309442800298389,384,0.9450914471674708,0.9529231580463189,id,4.419712940169653,4.415625,5.895849712905796,9.025,False,32,2,False,2712708,,,,,mse
deep,transformer,pitch_rate,10,1.0,434304,0.08593820281003159,0.05696870925836577,0.7528444431836472,0.9869694713308528,0.9236173504276821,0.09304524516590967,384,0.9861780667417182,0.9878885609077086,id,-0.07905696325885923,-0.07500000000000001,0.08985681937866259,7.199999999999999,True,32,2,False,2712708,,,,,mse
deep,transformer,pitch_rate,20,2.0,434304,0.09486539573905649,0.058634982253768834,1.3414123591158549,0.9949986063461498,0.9237371608217294,0.10269739029949496,384,0.9945684122383536,0.9954611046316886,id,-0.051851163883855994,-0.043750000000000004,0.06677701786499195,7.199999999999999,True,32,2,False,2712708,,,,,mse
deep,transformer,pitch_rate,30,3.0,434304,0.1256397393653423,0.07715836780594283,1.664055642972382,0.9942994289206023,0.9238676654473805,0.13599322074390557,384,0.9935651871555401,0.9950100529772372,id,-0.027262363354410797,-0.028125,0.06023998274955373,7.199999999999999,True,32,2,False,2712708,,,,,mse
deep,transformer,pitch_rate,50,5.0,434304,0.2550379174779884,0.14446848178828425,1.549273352583568,0.9729009912760519,0.923797316378609,0.2760756206542861,384,0.9692437524294387,0.9765108907653335,id,-0.0982428980474127,-0.09375,0.18241883516606264,7.199999999999999,True,32,2,False,2712708,,,,,mse
deep,transformer,pitch_rate,100,10.0,434304,0.6062066324304684,0.3417617596802153,1.2730898977022085,0.7732625680818159,0.9237004804982916,0.6562805208279737,384,0.7558016265765809,0.7915975254387235,id,1.6742383307064175,1.6781249999999999,2.9753264480050605,7.199999999999999,True,32,2,False,2712708,,,,,mse
deep,transformer,pitch_rate,150,15.0,434304,0.8016576532669143,0.4764893519327247,1.3079980284130317,0.6243670271678883,0.9234069683655249,0.8681520507538374,384,0.6075446738945139,0.6410985989508498,id,7.0257982659985965,7.01875,3.8448642590786837,7.199999999999999,False,32,2,False,2712708,,,,,mse
deep,transformer,heave_rate,10,1.0,434304,0.030744493666880233,0.02053367936711577,0.2852226587419099,0.9883810564362154,0.4495602477358838,0.06838792758416351,384,0.9877948813722652,0.9889460565370872,id,-0.005406740524624674,-0.003125,0.03427703418650084,8.5,True,32,2,False,2712708,,,,,mse
deep,transformer,heave_rate,20,2.0,434304,0.03295834996199105,0.02164180231972191,0.5351982235990471,0.9962077095248882,0.44960586015695647,0.07330498305890709,384,0.996004105437284,0.9964103454997618,id,-0.0010974923692429403,0.0031249999999999993,0.04266101482760958,8.5,True,32,2,False,2712708,,,,,mse
