experiment,model,head,n_realizations,dof,horizon_samples,horizon_s,n_windows,n_quantiles,alpha,picp,mean_interval_width,winkler,crps,pinball,crossing_rate,picp_ci_lo,picp_ci_hi,regime,seed,deterministic,n_params,fit_time_s,best_epoch,epochs_run,best_val_loss,val_loss_name
probabilistic,dlinear_quantile,quantile,384,roll_rate,150,15.0,434304,9,0.1,0.9399821323312703,5.8555129691532795,7.380094471175962,0.642810505571998,0.321405252785999,0.0,0.9296436367152963,0.9515179459549072,id,0,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,pitch_rate,10,1.0,434304,9,0.1,0.8046529619805481,0.06510075828530582,0.30944210240816333,0.025299949617592705,0.012649974808796354,0.6615066865605659,0.7788970398614795,0.8288090830386089,id,0,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,pitch_rate,20,2.0,434304,9,0.1,0.7900019341290893,0.38214093521935205,1.6482341662838609,0.13523627582822353,0.06761813791411177,0.38934018567639256,0.7641211570697023,0.8144190474874742,id,0,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,pitch_rate,30,3.0,434304,9,0.1,0.811661877394636,0.8968253643074926,2.7654629890224425,0.24625175115464606,0.12312587557732298,0.21353706159740643,0.7885444872715885,0.8333060482979664,id,0,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,pitch_rate,50,5.0,434304,9,0.1,0.812272049071618,1.0647917789089771,3.0299595508811628,0.26483441102806293,0.13241720551403144,0.11262617889773062,0.7895247338269967,0.8337846301208369,id,0,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,pitch_rate,100,10.0,434304,9,0.1,0.8315120284409078,2.2447746700407465,4.966897679717132,0.4872866302214323,0.2436433151107162,0.0213491010904804,0.8113200085654289,0.8504003532088122,id,0,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,pitch_rate,150,15.0,434304,9,0.1,0.8734250663129973,2.788400480242671,4.740824519611378,0.47975928764022513,0.2398796438201125,9.210138520483348e-06,0.857950709641173,0.8887248908598585,id,0,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,heave_rate,10,1.0,434304,9,0.1,0.9321949602122016,0.02773764811937505,0.03555657260267934,0.003183112629060643,0.0015915563145303222,0.7098645188623637,0.9222322382478633,0.9420169397472737,id,0,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,heave_rate,20,2.0,434304,9,0.1,0.915073312702623,0.17382219614408737,0.2438948307877635,0.021833250397386088,0.010916625198693032,0.28171971706454463,0.903501637102122,0.9270950186965812,id,0,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,heave_rate,30,3.0,434304,9,0.1,0.9088679818744474,0.42420232416181564,0.6212847917102693,0.05730815059582409,0.028654075297912043,0.06521699086354259,0.8963672911140584,0.9218119105511348,id,0,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,heave_rate,50,5.0,434304,9,0.1,0.9037563549955792,0.5135056593173806,0.7634055467807017,0.07564401539448291,0.03782200769724144,0.02813697318007663,0.8912508864758326,0.9169647297745358,id,0,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,heave_rate,100,10.0,434304,9,0.1,0.8935998747421161,1.0847027611173312,1.6124520705432888,0.17149587630971883,0.08574793815485936,0.0029725722074860008,0.8810227973953728,0.9064129618884468,id,0,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,heave_rate,150,15.0,434304,9,0.1,0.8829345343353964,1.347558859064923,2.1082989822759326,0.22637160917544294,0.11318580458772144,0.0,0.8695017199933687,0.8965208701738875,id,0,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,roll,10,1.0,434304,9,0.1,0.97522933244916,0.24216678019433036,0.2585731207734148,0.013092398667548235,0.006546199333774115,0.32984038829944,0.9697695047708518,0.9810226247052756,id,1,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,roll,20,2.0,434304,9,0.1,0.969797653256705,1.482074792404381,1.6519158957404656,0.09224945638746707,0.04612472819373352,0.24067012967875037,0.9630420166519305,0.9769220407824933,id,1,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,roll,30,3.0,434304,9,0.1,0.9609881557618627,3.416752526656581,4.005263475561149,0.2593698806716627,0.12968494033583133,0.052069518125552605,0.9526019216954023,0.9697954658488064,id,1,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,roll,50,5.0,434304,9,0.1,0.9621486332154435,4.163312642787457,4.823518830320592,0.341050195120356,0.17052509756017797,0.0190949196875921,0.9541803091843502,0.9705929487179488,id,1,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,roll,100,10.0,434304,9,0.1,0.9596549882110227,8.799731960819592,10.167835409389417,0.7807661503322341,0.3903830751661166,0.00014736221632773356,0.9519119096301208,0.9686378090001473,id,1,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,roll,150,15.0,434304,9,0.1,0.9421396072796935,10.930477385508762,13.816860864905253,1.15527789896969,0.577638949484845,0.0,0.9316048781498674,0.953930023670056,id,1,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,pitch,10,1.0,434304,9,0.1,0.8762318560271146,0.08438758888215789,0.17365371729882856,0.0167739270507967,0.008386963525398352,0.49801521514883584,0.8576055021367521,0.8931446636457412,id,1,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,pitch,20,2.0,434304,9,0.1,0.8581961022693781,0.5107835515137824,1.0613822015303391,0.09872061809926667,0.04936030904963333,0.3846107795461244,0.8394943403698791,0.8760728084475391,id,1,False,542700,,,,,pinball
