control,experiment,arm,regime,dof,horizon_samples,horizon_s,rmse_pipeline,rmse_raw,rel_diff,max_rel_diff,rtol,n_windows,model_matches_inline,asserted,enforced,passed
pipeline_sanity,e02_deep,reference,unseen_seastate,roll,20,2.0,6.285602779936391,6.285602666833748,1.7993921792693216e-08,1.0234231425483073e-07,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_seastate,pitch,20,2.0,2.2574679369272843,2.25746795011055,5.83984618238062e-09,1.0234231425483073e-07,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_seastate,heave,20,2.0,1.3801185948888666,1.380118599184317,3.112377763999985e-09,1.0234231425483073e-07,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_seastate,roll_rate,20,2.0,3.368958986536275,3.368958975372853,3.3136117917315202e-09,1.0234231425483073e-07,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_seastate,pitch_rate,20,2.0,1.7517352036747549,1.7517351867183208,9.679793020781836e-09,1.0234231425483073e-07,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_seastate,heave_rate,20,2.0,0.8317851262625237,0.8317851168596624,1.1304435576921811e-08,1.0234231425483073e-07,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_seastate,roll,30,3.0,8.864532076774113,8.86453189604826,2.038752346776261e-08,1.0234231425483073e-07,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_seastate,pitch,30,3.0,2.9691366108107022,2.9691366292444545,6.2084553876061275e-09,1.0234231425483073e-07,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_seastate,heave,30,3.0,1.9144386920003023,1.914438698500781,3.395501160200125e-09,1.0234231425483073e-07,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_seastate,roll_rate,30,3.0,4.734841242734146,4.734841225156471,3.712410718632628e-09,1.0234231425483073e-07,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_seastate,pitch_rate,30,3.0,2.206101092123951,2.206101069813696,1.011297953754738e-08,1.0234231425483073e-07,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_seastate,heave_rate,30,3.0,1.1362827248715026,1.136282711103087,1.211706856425278e-08,1.0234231425483073e-07,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_seastate,roll,50,5.0,12.020706677550539,12.020706403954549,2.276039203633931e-08,1.0234231425483073e-07,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_seastate,pitch,50,5.0,3.3044138037793074,3.3044138256632802,6.622648981224718e-09,1.0234231425483073e-07,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_seastate,heave,50,5.0,2.4740805276685527,2.474080536768781,3.6782263112978426e-09,1.0234231425483073e-07,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_seastate,roll_rate,50,5.0,6.356646884526954,6.356646858359942,4.116480455783266e-09,1.0234231425483073e-07,1e-06,542880,True,True,True,True
