control,regime,subject_model,null_model,dof,horizon_samples,horizon_s,alpha,metric,loss_subject,loss_null,excess,tol,asserted,enforced,on_residual_floor,passed,picp_subject,picp_null,width_subject,width_null,crossing_rate_subject,crossing_rate_null
interval_shuffle,id,shuffled_interval,residual_interval,pitch,10,1.0,0.1,crps,0.6567522223015875,0.00446210894097554,-146.18426443393903,inf,True,True,False,True,0.9031945365458296,0.9033188734158561,4.462587751402439,0.02922161466552117,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,pitch,20,2.0,0.1,crps,0.6709776681567419,0.04130679067329038,-15.243761793641514,inf,True,True,False,True,0.9028261310050103,0.9028906019746537,4.556778030888069,0.2723536859075807,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,pitch,30,3.0,0.1,crps,0.6657495147953132,0.13481224100776912,-3.9383461755297624,inf,True,True,False,True,0.9010923224285293,0.9021261604774535,4.490976917308597,0.8902315748771623,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,pitch,50,5.0,0.1,crps,0.6240154623633006,0.23675680836481533,-1.6356811729011134,inf,True,True,False,True,0.9030701996758032,0.9017117042440318,4.247771776807497,1.5728060823053713,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,pitch,100,10.0,0.1,crps,0.6244049294588403,0.5159423811348347,-0.2102222114132941,inf,True,True,False,True,0.9003555113468906,0.9006272104332449,4.184080826303097,3.4365910967758073,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,pitch,150,15.0,0.1,crps,0.6337112580890584,0.6220320220519026,-0.018775940181711803,inf,True,True,False,True,0.9019972185381668,0.9023149683171235,4.2845857014308155,4.217628366059088,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,heave,10,1.0,0.1,crps,0.40458869188286706,0.001985593516072002,-202.76209360475963,inf,True,True,False,True,0.9002104516651931,0.8970628868258178,2.6635381946750383,0.0119993543551363,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,heave,20,2.0,0.1,crps,0.41613633208422646,0.019466860506198863,-20.376653515943957,inf,True,True,False,True,0.9008482537577365,0.8977052939876216,2.752207457570548,0.1180361770218483,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,heave,30,3.0,0.1,crps,0.4180134110914829,0.06868132622411331,-5.086274597078509,inf,True,True,False,True,0.9029113247863247,0.8979493626584144,2.7971424716312687,0.4167052404796384,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,heave,50,5.0,0.1,crps,0.3964498711755864,0.14317263061959415,-1.7690339240112385,inf,True,True,False,True,0.8989118221338049,0.8976822686413204,2.6026197696532782,0.864699223469395,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,heave,100,10.0,0.1,crps,0.37040089349854033,0.2831212965283512,-0.3082763396481165,inf,True,True,False,True,0.9023218759210139,0.8976638483642794,2.461254224799792,1.7668514583713704,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,heave,150,15.0,0.1,crps,0.39534283163218104,0.3712282414635027,-0.06495893220195414,inf,True,True,False,True,0.9011038351016799,0.8993308834364869,2.6265722888521457,2.4045370986345036,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,roll_rate,10,1.0,0.1,crps,0.9841197529744943,0.0029716003454945887,-330.1750028790291,inf,True,True,False,True,0.897371426466254,0.9021883289124668,6.72512874897133,0.020080081823858852,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,roll_rate,20,2.0,0.1,crps,1.0034551360151158,0.028912198905890918,-33.706980928062855,inf,True,True,False,True,0.9004522178013558,0.9011660035366932,6.997553946895018,0.19468827010903134,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,roll_rate,30,3.0,0.1,crps,0.9950802455511853,0.10094381953760583,-8.857762962699029,inf,True,True,False,True,0.9029182323902152,0.90129494547598,7.064289377315966,0.6816044316629889,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,roll_rate,50,5.0,0.1,crps,0.9109948504587568,0.205295092321926,-3.4374896650243034,inf,True,True,False,True,0.9011982390215149,0.9014837533156499,6.392982523016503,1.4031172583009819,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,roll_rate,100,10.0,0.1,crps,0.8473376654774318,0.4491031586320449,-0.8867328122527518,inf,True,True,False,True,0.900456822870616,0.9013432987032125,5.8834927447102885,3.0736716566571776,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,roll_rate,150,15.0,0.1,crps,0.9741792082737551,0.6441204557476681,-0.5124177466821305,inf,True,True,False,True,0.9014791482463896,0.9006433281756557,6.858659144626751,4.446884609827515,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,pitch_rate,10,1.0,0.1,crps,0.4877021549305722,0.00562253626544318,-85.74059746453774,inf,True,True,False,True,0.9014952659888005,0.9007860853227233,3.244885052725851,0.03255004766844426,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,pitch_rate,20,2.0,0.1,crps,0.49586224721016126,0.04874318177115342,-9.172956076979288,inf,True,True,False,True,0.9029596780135574,0.900857463896257,3.3209140596946534,0.2919083197281176,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,pitch_rate,30,3.0,0.1,crps,0.4885864276071311,0.14630653462391013,-2.339470987150863,inf,True,True,False,True,0.9038783893309755,0.9022182618626584,3.2904100520745905,0.9139242957916999,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,pitch_rate,50,5.0,0.1,crps,0.4579996975920819,0.2138657512303247,-1.1415289496205259,inf,True,True,False,True,0.9030264515178308,0.9028100132625995,3.070001470116554,1.4016594073898014,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,pitch_rate,100,10.0,0.1,crps,0.4698882119881988,0.4341319161750686,-0.08236274385942899,inf,True,True,False,True,0.9004591254052461,0.9035583370173887,3.1158481809592216,2.898710521746716,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,pitch_rate,150,15.0,0.1,crps,0.46907196669968443,0.47502431631343955,0.012530620874211307,inf,True,True,False,True,0.9032866379310345,0.9040418692897141,3.146685971163766,3.212711689113142,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,heave_rate,10,1.0,0.1,crps,0.2436262300097093,0.0011591323065455405,-209.17982902725487,inf,True,True,False,True,0.9031991416150899,0.9006156977600943,1.6010236078389495,0.007329977134351141,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,heave_rate,20,2.0,0.1,crps,0.24987364626008496,0.01122867895056655,-21.25316507490647,inf,True,True,False,True,0.902287337901562,0.9000838122605364,1.633152669166594,0.07086075458393136,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,heave_rate,30,3.0,0.1,crps,0.24992988275703118,0.03891748879127522,-5.422045474143289,inf,True,True,False,True,0.9010554818744474,0.9004499152667256,1.6253409983498956,0.24618005935894613,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,heave_rate,50,5.0,0.1,crps,0.23543804638114146,0.07783526726353403,-2.0248247954747454,inf,True,True,False,True,0.9014054671382258,0.9005880673445329,1.5395821694673837,0.49376872739852756,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,heave_rate,100,10.0,0.1,crps,0.22801902684223777,0.1680587650612315,-0.35678152079220626,inf,True,True,False,True,0.904783285440613,0.9019534703801945,1.503059789230683,1.0845116022653885,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,heave_rate,150,15.0,0.1,crps,0.23656326586647483,0.22342189313542,-0.058818643717648555,inf,True,True,False,True,0.9010692970822282,0.9032152593575007,1.540958052009332,1.461246774521202,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,roll,10,1.0,0.1,pinball,0.9030444903646421,0.002595644689066534,-346.90759080720017,inf,True,True,False,True,0.9013548113763631,0.9030149388446802,12.829780885142004,0.03583730169022145,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,roll,20,2.0,0.1,pinball,0.9225346789691216,0.0254456243009502,-35.255140296741395,inf,True,True,False,True,0.9014791482463896,0.9020041261420572,13.124327179893461,0.34922810576397656,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,roll,30,3.0,0.1,pinball,0.9162480203181101,0.08978240163399068,-9.205207297230823,inf,True,True,False,True,0.9003969569702328,0.9016495358090185,12.912441962248268,1.2314937103533021,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,roll,50,5.0,0.1,pinball,0.8388828542614871,0.18670609179103456,-3.493066328014528,inf,True,True,False,True,0.900247292219275,0.9021238579428235,11.821597248267754,2.5935582944486644,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,roll,100,10.0,0.1,pinball,0.7643158932599855,0.3972667344259452,-0.9239363053250114,inf,True,True,False,True,0.8994160772178014,0.899694683908046,10.675056296127902,5.462815106667805,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,roll,150,15.0,0.1,pinball,0.8985540628853432,0.5716504301959648,-0.5718593311953146,inf,True,True,False,True,0.8961280577659888,0.8986792661361627,12.322898603873409,7.889615798264613,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,pitch,10,1.0,0.1,pinball,0.32837611115079385,0.0022310544704877686,-146.18426443393915,inf,True,True,False,True,0.9031945365458296,0.9033188734158561,4.462587751402439,0.02922161466552117,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,pitch,20,2.0,0.1,pinball,0.33548883407837105,0.0206533953366452,-15.24376179364151,inf,True,True,False,True,0.9028261310050103,0.9028906019746537,4.556778030888069,0.2723536859075807,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,pitch,30,3.0,0.1,pinball,0.33287475739765654,0.06740612050388456,-3.9383461755297615,inf,True,True,False,True,0.9010923224285293,0.9021261604774535,4.490976917308597,0.8902315748771623,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,pitch,50,5.0,0.1,pinball,0.31200773118165037,0.11837840418240768,-1.6356811729011138,inf,True,True,False,True,0.9030701996758032,0.9017117042440318,4.247771776807497,1.5728060823053713,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,pitch,100,10.0,0.1,pinball,0.3122024647294201,0.25797119056741713,-0.210222211413295,inf,True,True,False,True,0.9003555113468906,0.9006272104332449,4.184080826303097,3.4365910967758073,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,pitch,150,15.0,0.1,pinball,0.3168556290445291,0.31101601102595117,-0.018775940181711803,inf,True,True,False,True,0.9019972185381668,0.9023149683171235,4.2845857014308155,4.217628366059088,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,heave,10,1.0,0.1,pinball,0.20229434594143345,0.000992796758036001,-202.76209360475954,inf,True,True,False,True,0.9002104516651931,0.8970628868258178,2.6635381946750383,0.0119993543551363,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,heave,20,2.0,0.1,pinball,0.20806816604211312,0.00973343025309943,-20.376653515943946,inf,True,True,False,True,0.9008482537577365,0.8977052939876216,2.752207457570548,0.1180361770218483,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,heave,30,3.0,0.1,pinball,0.20900670554574152,0.034340663112056656,-5.0862745970785115,inf,True,True,False,True,0.9029113247863247,0.8979493626584144,2.7971424716312687,0.4167052404796384,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,heave,50,5.0,0.1,pinball,0.19822493558779325,0.07158631530979707,-1.7690339240112394,inf,True,True,False,True,0.8989118221338049,0.8976822686413204,2.6026197696532782,0.864699223469395,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,heave,100,10.0,0.1,pinball,0.18520044674927022,0.14156064826417564,-0.30827633964811674,inf,True,True,False,True,0.9023218759210139,0.8976638483642794,2.461254224799792,1.7668514583713704,0.0,0.0
