model,regime,dof,horizon_samples,horizon_s,n_seeds,deterministic,n_windows,rmse_mean,rmse_std,mae_mean,mae_std,rmse_persistence,skill_mean,skill_std,skill_ci_lo,skill_ci_hi,n_params,fit_time_s_mean
ar40,id,heave_imu,10,1.0,1,True,434304,0.0014955163214690245,,0.0011037680987794612,,0.4360860094370759,0.9999882391690738,,0.9999868779500558,0.9999893544300228,216900,0.20167178600240732
ar40,id,heave_imu,20,2.0,1,True,434304,0.013261562484268795,,0.009614288153233768,,0.8272378841486192,0.9997430026995127,,0.9997109222625905,0.99976904234415,216900,0.20167178600240732
ar40,id,heave_imu,30,3.0,1,True,434304,0.049999341194677145,,0.03552058437343607,,1.1355767624159623,0.9980613671380348,,0.9978123968407666,0.9982676332087379,216900,0.20167178600240732
ar40,id,heave_imu,50,5.0,1,True,434304,0.1812025941179579,,0.12387687277157743,,1.419148162303668,0.9836967817192128,,0.9819060722990225,0.9853071277066402,216900,0.20167178600240732
ar40,id,heave_imu,100,10.0,1,True,434304,0.4644962384549486,,0.3195896202022305,,0.8123875004006482,0.6730826743486356,,0.6365079343320359,0.7004973136664485,216900,0.20167178600240732
ar40,id,heave_imu,150,15.0,1,True,434304,0.6339362600059133,,0.43352752055551136,,1.0935546656669395,0.663945131900306,,0.6421311095066075,0.6831032418561527,216900,0.20167178600240732
ar40,id,heave_rate_imu,10,1.0,1,True,434304,0.004782576628620499,,0.003513395863537946,,0.2838667559561788,0.9997161461395052,,0.9996887934053621,0.9997384985871417,216900,0.20167178600240732
ar40,id,heave_rate_imu,20,2.0,1,True,434304,0.026041158676605985,,0.01865400999517527,,0.5325577215099725,0.9976089578284996,,0.9973658006246777,0.9978237071397884,216900,0.20167178600240732
ar40,id,heave_rate_imu,30,3.0,1,True,434304,0.06815232106465803,,0.047599992011571314,,0.7178513821406037,0.9909865257868993,,0.9900442405804032,0.9918344280584949,216900,0.20167178600240732
ar40,id,heave_rate_imu,50,5.0,1,True,434304,0.12929770595085963,,0.08613790080620795,,0.8471498442942375,0.9767050829483865,,0.974039401622619,0.9790245904837289,216900,0.20167178600240732
ar40,id,heave_rate_imu,100,10.0,1,True,434304,0.30160970751747446,,0.20549882860663202,,0.47470625601314864,0.5963167584029904,,0.5793901229896382,0.613460669320221,216900,0.20167178600240732
ar40,id,heave_rate_imu,150,15.0,1,True,434304,0.4089890746121678,,0.27789073626167965,,0.6780395407647745,0.6361575466154141,,0.6131261428144161,0.6576265363678367,216900,0.20167178600240732
ar40,id,pitch_imu,10,1.0,1,True,434304,0.0501982764255595,,0.03880796989290906,,0.8967465758949417,0.996866438971044,,0.9965893793295814,0.9970910759950005,216900,0.20167178600240732
ar40,id,pitch_imu,20,2.0,1,True,434304,0.18426008902303212,,0.1347869997376475,,1.639889871399927,0.9873749476881766,,0.9864685432618034,0.9881888965652238,216900,0.20167178600240732
