model,seed,vessel,ss,heading_deg,speed_kn,dof,horizon_samples,horizon_s,n_realizations,n_windows,rmse,mae,rmse_persistence,skill,sse,sae,sse_persistence,regime
ar20,0,s175,SS5,45.0,12.0,pitch_rate_imu,100,10.0,8,9048,0.5864069846687828,0.46707946603989403,0.7131832982138474,0.32392334340290385,3111.364276295087,4226.135008728961,4602.088011669491,unseen_vessel
ar20,0,s175,SS5,45.0,12.0,pitch_rate_imu,150,15.0,8,9048,0.48885598006174974,0.3891239609148275,0.522318785087928,0.1240272958512576,2162.292571302827,3520.793598357359,2468.4474311378362,unseen_vessel
ar20,0,s175,SS5,45.0,12.0,roll_imu,10,1.0,8,9048,0.04617927182190221,0.03690746332054536,1.9591630081866587,0.999444411795587,19.295087521018235,333.9387281242944,34729.11657907003,unseen_vessel
ar20,0,s175,SS5,45.0,12.0,roll_imu,20,2.0,8,9048,0.15406070711349093,0.12268114231646296,3.8169712020320796,0.9983709065142314,214.75157895764232,1110.0189756793568,131822.7473338228,unseen_vessel
ar20,0,s175,SS5,45.0,12.0,roll_imu,30,3.0,8,9048,0.41784915497202957,0.33218219384389336,5.477859701400997,0.9941814168284167,1579.761946780473,3005.584489899547,271502.85562569235,unseen_vessel
ar20,0,s175,SS5,45.0,12.0,roll_imu,50,5.0,8,9048,1.6002392934415497,1.2787342512534836,7.881920897248779,0.9587802155491667,23169.808924689958,11569.98750534152,562104.0777718464,unseen_vessel
ar20,0,s175,SS5,45.0,12.0,roll_imu,100,10.0,8,9048,3.1246748751479823,2.5137283301406503,6.70211180407186,0.7826366424645356,88340.99014604781,22744.213931112605,406420.8022349597,unseen_vessel
ar20,0,s175,SS5,45.0,12.0,roll_imu,150,15.0,8,9048,3.580335110270282,2.8697732059563927,2.6670724277560067,-0.8020952231312657,115984.49789259506,25965.707967493443,64360.91523014191,unseen_vessel
ar20,0,s175,SS5,45.0,12.0,roll_rate_imu,10,1.0,8,9048,0.06455682956203944,0.051579828919364155,0.8939398194369652,0.9947848377819378,37.70830223158878,466.6942920624069,7230.513770212145,unseen_vessel
ar20,0,s175,SS5,45.0,12.0,roll_rate_imu,20,2.0,8,9048,0.17691405214190292,0.1403502466977771,1.7405660088492092,0.989668969020904,283.18956853598434,1269.8890321214872,27411.54964194713,unseen_vessel
ar20,0,s175,SS5,45.0,12.0,roll_rate_imu,30,3.0,8,9048,0.3874985276839603,0.3086334764757847,2.4963500284327433,0.9759048767152877,1358.60342584508,2792.5156951529,56384.99582639932,unseen_vessel
ar20,0,s175,SS5,45.0,12.0,roll_rate_imu,50,5.0,8,9048,0.8208869624020498,0.6571684458027369,3.58416774077823,0.9475446169326204,6097.043704816979,5946.0600976231635,116232.94594923161,unseen_vessel
ar20,0,s175,SS5,45.0,12.0,roll_rate_imu,100,10.0,8,9048,1.6450860609502584,1.3178082432722018,3.002177388375328,0.6997351150277085,24486.676122496312,11923.528985126883,81550.24895687,unseen_vessel
ar20,0,s175,SS5,45.0,12.0,roll_rate_imu,150,15.0,8,9048,2.0424594143713137,1.6381070815545893,1.2733516662966307,-1.5728244186976483,37745.00287623507,14821.592873905924,14670.648568914552,unseen_vessel
ar40,0,s175,SS5,45.0,12.0,heave_imu,10,1.0,8,9048,0.0012485310041818046,0.0009956696427979841,0.19706880151338968,0.9999598613360902,0.014104290839712381,9.00881892803616,351.38914617075034,unseen_vessel
ar40,0,s175,SS5,45.0,12.0,heave_imu,20,2.0,8,9048,0.011306979550519779,0.009009052653893138,0.3839228983756254,0.9991326284316616,1.1567667727575341,81.51390841242511,1333.6461730853298,unseen_vessel
ar40,0,s175,SS5,45.0,12.0,heave_imu,30,3.0,8,9048,0.04455314083462885,0.03559538092612861,0.5508015268905749,0.9934571587923083,17.960120377267508,322.0670066196116,2745.0032496820977,unseen_vessel
ar40,0,s175,SS5,45.0,12.0,heave_imu,50,5.0,8,9048,0.18185441417705991,0.147300353584985,0.7915477770589315,0.9472170781617442,299.2266609430076,1332.7735992369442,5669.0052487040375,unseen_vessel
ar40,0,s175,SS5,45.0,12.0,heave_imu,100,10.0,8,9048,0.4011582802851115,0.32523172684616786,0.672761657927758,0.644443143892923,1456.0762349321556,2942.6966645041266,4095.199431321481,unseen_vessel
ar40,0,s175,SS5,45.0,12.0,heave_imu,150,15.0,8,9048,0.43878629084080745,0.35040352694795857,0.30830344893752776,-1.0255796924911498,1742.042284901935,3170.451111825129,860.0215984390584,unseen_vessel
ar40,0,s175,SS5,45.0,12.0,heave_rate_imu,10,1.0,8,9048,0.004078094485963928,0.0032496858608557035,0.09190853750905768,0.9980311943063274,0.15047597275059416,29.403157669022406,76.43007800830334,unseen_vessel
ar40,0,s175,SS5,45.0,12.0,heave_rate_imu,20,2.0,8,9048,0.02256510631137177,0.018003510577052576,0.17896527502534867,0.9841021928805787,4.607097038688079,162.89576370117172,289.7944983280034,unseen_vessel
ar40,0,s175,SS5,45.0,12.0,heave_rate_imu,30,3.0,8,9048,0.06319202962983983,0.05078735643342679,0.2565174630570433,0.9393136892416978,36.13076864386644,459.52400100964564,595.369337703949,unseen_vessel
ar40,0,s175,SS5,45.0,12.0,heave_rate_imu,50,5.0,8,9048,0.12709791229632486,0.10278749401234026,0.36738759509528046,0.8803182702333737,146.1602999976426,930.0212458236547,1221.2415402304787,unseen_vessel
ar40,0,s175,SS5,45.0,12.0,heave_rate_imu,100,10.0,8,9048,0.22205513851344597,0.17792243937804483,0.3040680383859018,0.4666895295556155,446.14316811996184,1609.8422314925497,836.5543015651091,unseen_vessel
ar40,0,s175,SS5,45.0,12.0,heave_rate_imu,150,15.0,8,9048,0.25819039020651313,0.2068144649726734,0.14942444965814633,-1.9856357189465057,603.1602876794833,1871.2572790727488,202.0207233762299,unseen_vessel
ar40,0,s175,SS5,45.0,12.0,pitch_imu,10,1.0,8,9048,0.055494190275436,0.04428000614517137,0.5250019409749187,0.988826911988149,27.86426743634432,400.64549560151056,2493.873440072205,unseen_vessel
ar40,0,s175,SS5,45.0,12.0,pitch_imu,20,2.0,8,9048,0.23516093960430845,0.18836870342903617,1.0187078040693474,0.9467117930632528,500.3604396809787,1704.3600286259193,9389.703058969571,unseen_vessel
ar40,0,s175,SS5,45.0,12.0,pitch_imu,30,3.0,8,9048,0.5284307839291559,0.4221554540682463,1.453872097574053,0.8678936127789799,2526.5553171192305,3819.6625484094925,19125.156400592397,unseen_vessel
ar40,0,s175,SS5,45.0,12.0,pitch_imu,50,5.0,8,9048,0.8594693506720108,0.6804476696322228,2.0530575967467115,0.8247498003229652,6683.64508580885,6156.690514832352,38137.73164382129,unseen_vessel
ar40,0,s175,SS5,45.0,12.0,pitch_imu,100,10.0,8,9048,1.0297656005478504,0.8176040863557722,1.5281945675388762,0.5459335049103631,9594.654753864517,7397.681773347027,21130.505900838252,unseen_vessel
ar40,0,s175,SS5,45.0,12.0,pitch_imu,150,15.0,8,9048,1.1086891619700363,0.8794343936639997,1.034221149161385,-0.14919247896427712,11121.726120406141,7957.122393871869,9677.861910852153,unseen_vessel
ar40,0,s175,SS5,45.0,12.0,pitch_rate_imu,10,1.0,8,9048,0.10858266739671038,0.08703629338914415,0.2548417302889779,0.8184568268806727,106.67769032249294,787.5043825849763,587.616094229962,unseen_vessel
ar40,0,s175,SS5,45.0,12.0,pitch_rate_imu,20,2.0,8,9048,0.26910986453970315,0.21529635994837215,0.4923982687914078,0.7013062051179262,655.2572384544402,1948.0014648128713,2193.7423866242007,unseen_vessel
ar40,0,s175,SS5,45.0,12.0,pitch_rate_imu,30,3.0,8,9048,0.3385989412282145,0.26792561240104856,0.7015241960713968,0.767037573048219,1037.3463506718524,2424.1909410046874,4452.84831655091,unseen_vessel
