heading_deg,speed_kn,dof,metric,corpus_mean,corpus_sd,corpus_n,mss_mean,mss_sd,mss_n,ratio_mss_over_corpus,z_in_corpus_sd
180.0,6.0,pitch,tz_s,7.996847364385566,0.19218501901275212,8,8.361146136075714,0.06258127302002377,3,1.0455552988684733,1.8955627944443243
180.0,6.0,heave,tz_s,8.786995829012191,0.2480240126190599,8,7.721367965367965,0.16875766454084132,3,0.8787267133864087,-4.296470540862204
180.0,12.0,roll,rms,0.019539583249184075,0.0008214372918890151,8,4.994149906479528e-07,1.2957933104806296e-08,3,2.555914239720579e-05,-23.786458232569952
180.0,12.0,pitch,rms,1.178875534600583,0.06526133821166426,8,0.6616882489611321,0.012281872627224402,3,0.5612876249784248,-7.924864855851412
180.0,12.0,heave,rms,0.3517252913024835,0.014935132133991405,8,0.20524230344047534,0.0014583355853891218,3,0.5835301256854092,-9.807947231254971
180.0,12.0,roll,sig_amp,0.03907916649836815,0.0016428745837780302,8,9.988299812959055e-07,2.5915866209612592e-08,3,2.555914239720579e-05,-23.786458232569952
180.0,12.0,pitch,sig_amp,2.357751069201166,0.13052267642332852,8,1.3233764979222642,0.024563745254448804,3,0.5612876249784248,-7.924864855851412
180.0,12.0,heave,sig_amp,0.703450582604967,0.02987026426798281,8,0.4104846068809507,0.0029166711707782436,3,0.5835301256854092,-9.807947231254971
180.0,12.0,roll,tz_s,7.357954209700829,0.1395862653206839,8,6.2562403232506325,0.22463138190898874,3,0.8502689939280023,-7.892709815819852
180.0,12.0,pitch,tz_s,6.9345374725503,0.11132183668218393,8,7.027632141521029,0.2697068981478633,3,1.013424784181964,0.8362660170304955
180.0,12.0,heave,tz_s,7.844771711215564,0.18943486309777277,8,6.681292824822236,0.27499459691237194,3,0.8516873493297558,-6.141841408531138
135.0,0.0,roll,rms,0.8729002402808199,0.03789593959582911,8,0.5655037575023267,0.01883589829205757,3,0.6478446578504767,-8.11159417227712
135.0,0.0,pitch,rms,1.2310260689803108,0.09311989038625619,8,0.856697201008334,0.03007838826902845,3,0.695921250244487,-4.019859413700781
135.0,0.0,heave,rms,0.5386357325454845,0.03975294524655237,8,0.3579830529121489,0.013279293061787573,3,0.6646106659511666,-4.5443847874140335
135.0,0.0,roll,sig_amp,1.7458004805616398,0.07579187919165822,8,1.1310075150046535,0.03767179658411514,3,0.6478446578504767,-8.11159417227712
135.0,0.0,pitch,sig_amp,2.4620521379606215,0.18623978077251238,8,1.713394402016668,0.0601567765380569,3,0.695921250244487,-4.019859413700781
135.0,0.0,heave,sig_amp,1.077271465090969,0.07950589049310473,8,0.7159661058242978,0.026558586123575145,3,0.6646106659511666,-4.5443847874140335
135.0,0.0,roll,tz_s,10.885523840568842,0.47630745243021555,8,9.905391935179951,0.3191637251493362,3,0.9099600607426833,-2.0577715095324725
135.0,0.0,pitch,tz_s,9.319076500595683,0.22548326802257987,8,9.393824269234104,0.2654684791249868,3,1.0080209416280297,0.33150028955113237
135.0,0.0,heave,tz_s,10.048064223790043,0.25505776162457267,8,10.150432188009475,0.22300487308672232,3,1.0101878294106703,0.40135208420009166
135.0,6.0,roll,rms,0.5265236237386182,0.02458064042838797,8,0.5882527844175397,0.024234881378845642,3,1.1172391093121508,2.511291797248336
135.0,6.0,pitch,rms,1.145992417039891,0.053970140316355206,8,0.8897773723607826,0.03575363057875683,3,0.7764251832128922,-4.747348129489012
135.0,6.0,heave,rms,0.4927555957232579,0.025908198814274613,8,0.3689699762480956,0.015961192889676953,3,0.7487890131547426,-4.777855086049451
135.0,6.0,roll,sig_amp,1.0530472474772363,0.04916128085677594,8,1.1765055688350794,0.048469762757691284,3,1.1172391093121508,2.511291797248336
135.0,6.0,pitch,sig_amp,2.291984834079782,0.10794028063271041,8,1.7795547447215652,0.07150726115751366,3,0.7764251832128922,-4.747348129489012
135.0,6.0,heave,sig_amp,0.9855111914465158,0.05181639762854923,8,0.7379399524961912,0.031922385779353905,3,0.7487890131547426,-4.777855086049451
135.0,6.0,roll,tz_s,9.31278271173106,0.1931744938027437,8,8.239351851851852,0.0593225212093496,3,0.8847357558845397,-5.556793957360233
135.0,6.0,pitch,tz_s,8.260484392268875,0.18379550376314877,8,8.132515220700151,0.05135056221775221,3,0.9845082727002678,-0.6962584445680106
135.0,6.0,heave,tz_s,9.213064236111112,0.1724526678807507,8,8.606946778711484,0.10004170210663921,3,0.9342110896151231,-3.5146887830042317
