regime,grid_kind,ss,heading_deg,speed_kn,model,record,threshold_set,rule,scorable,base_rate,always_yes_sample_f1,n_onsets_true,n_onsets_pred,n_matched,precision,recall,f1,false_alarms_per_min,lead_p10,median_lead_time_s,lead_p90,n_onsets_true_raw,n_excluded_true,n_excluded_pred,n_windows,duration_s,peak_roll_deg,peak_pitch_deg,peak_heave_rate_mps,roll_limit_deg,pitch_limit_deg,heave_rate_limit_mps,sustain_s,n_records
unseen_vessel,mss,SS5,180.0,0.0,dlinear|1,S175_h180.0_u00.0_s000,permissive,point,False,1.0,1.0,0,0,0,,,,0.0,,,,1,1,0,1131,580.0,1.35975e-06,1.82939,0.399062,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,dlinear|1,S175_h180.0_u00.0_s000,strict,point,True,0.7889655172413793,0.882035466461064,13,207,13,0.06280193236714976,1.0,0.11818181818181818,20.06896551724138,1.0,1.2,2.0200000000000005,16,3,0,1131,580.0,1.35975e-06,1.82939,0.399062,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,dlinear|1,S175_h180.0_u00.0_s001,permissive,point,False,1.0,1.0,0,0,0,,,,0.0,,,,1,1,0,1131,580.0,1.36606e-06,1.88133,0.370724,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,dlinear|1,S175_h180.0_u00.0_s001,strict,point,True,0.8724137931034482,0.9318600368324126,17,159,17,0.1069182389937107,1.0,0.1931818181818182,14.689655172413794,0.56,1.3,2.1,21,4,0,1131,580.0,1.36606e-06,1.88133,0.370724,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,dlinear|1,S175_h180.0_u00.0_s002,permissive,point,False,1.0,1.0,0,0,0,,,,0.0,,,,1,1,0,1131,580.0,1.27117e-06,1.95463,0.479135,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,dlinear|1,S175_h180.0_u00.0_s002,strict,point,True,0.8456896551724138,0.916394208313872,11,146,11,0.07534246575342465,1.0,0.14012738853503182,13.96551724137931,1.0,1.9,2.3,13,2,0,1131,580.0,1.27117e-06,1.95463,0.479135,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,dlinear|2,S175_h180.0_u00.0_s000,permissive,point,False,1.0,1.0,0,0,0,,,,0.0,,,,1,1,0,1131,580.0,1.35975e-06,1.82939,0.399062,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,dlinear|2,S175_h180.0_u00.0_s000,strict,point,True,0.7889655172413793,0.882035466461064,13,201,13,0.06467661691542288,1.0,0.12149532710280372,19.448275862068964,0.92,1.3,2.8200000000000007,16,3,0,1131,580.0,1.35975e-06,1.82939,0.399062,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,dlinear|2,S175_h180.0_u00.0_s001,permissive,point,False,1.0,1.0,0,0,0,,,,0.0,,,,1,1,0,1131,580.0,1.36606e-06,1.88133,0.370724,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,dlinear|2,S175_h180.0_u00.0_s001,strict,point,True,0.8724137931034482,0.9318600368324126,17,154,17,0.11038961038961038,1.0,0.1988304093567251,14.172413793103448,1.1,1.3,2.1,21,4,0,1131,580.0,1.36606e-06,1.88133,0.370724,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,dlinear|2,S175_h180.0_u00.0_s002,permissive,point,False,1.0,1.0,0,0,0,,,,0.0,,,,1,1,0,1131,580.0,1.27117e-06,1.95463,0.479135,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,dlinear|2,S175_h180.0_u00.0_s002,strict,point,True,0.8456896551724138,0.916394208313872,11,148,11,0.07432432432432433,1.0,0.13836477987421383,14.172413793103448,1.0,1.4,2.3,13,2,0,1131,580.0,1.27117e-06,1.95463,0.479135,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,lstm|0,S175_h180.0_u00.0_s000,permissive,point,False,1.0,1.0,0,118,0,,,,12.206896551724139,,,,1,1,0,1131,580.0,1.35975e-06,1.82939,0.399062,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,lstm|0,S175_h180.0_u00.0_s000,strict,point,True,0.7889655172413793,0.882035466461064,13,200,5,0.025,0.38461538461538464,0.046948356807511735,20.17241379310345,0.96,4.5,6.2,16,3,0,1131,580.0,1.35975e-06,1.82939,0.399062,1.5,1.0,0.4,3.0,3
