model,head,regime,dof,horizon_samples,horizon_s,picp_id,picp_ood,picp_delta,width_id,width_ood,width_delta,width_ratio_id,width_ratio_ood
lstm_gaussian_conformal,gaussian,unseen_vessel,heave_rate,10,1.0,0.9004345650358582,0.3029575289812359,-0.5974770360546222,0.011976984914736448,0.01938041763735541,0.007403432722618961,0.008098458261478769,0.016056061334789318
lstm_gaussian_conformal,gaussian,unseen_vessel,heave_rate,20,2.0,0.8997906228509677,0.28273129727871105,-0.6170593255722566,0.016625271961679514,0.024458707764356158,0.007833435802676644,0.01124034245012482,0.020261202644809864
lstm_gaussian_conformal,gaussian,unseen_vessel,heave_rate,30,3.0,0.8999686855290303,0.3540569125159643,-0.545911773013066,0.032743425700228646,0.03523092243439253,0.0024874967341638812,0.02213567196220965,0.029189066388037404
lstm_gaussian_conformal,gaussian,unseen_vessel,heave_rate,50,5.0,0.8987253168287651,0.4391332645642991,-0.45959205226446603,0.08234775827698082,0.0802559948707982,-0.0020917634061826257,0.055676947703833975,0.06648448922301609
lstm_gaussian_conformal,gaussian,unseen_vessel,heave_rate,100,10.0,0.8986570083014049,0.6781854799096179,-0.22047152839178707,0.3555681535987298,0.31398160572165396,-0.04158654787707583,0.2405171330558853,0.26005925159263793
lstm_gaussian_conformal,gaussian,unseen_vessel,heave_rate,150,15.0,0.9013049231260438,0.8396553259161017,-0.06164959720994212,0.7066487579624913,0.6291960328740839,-0.07745272508840739,0.47826118921271377,0.5211275725728302
lstm_gaussian_conformal,gaussian,unseen_vessel,pitch,10,1.0,0.9003854442970822,0.3244194542685922,-0.57596599002849,0.03303375100655762,0.043114237483552066,0.010080486476994444,0.008089433266401795,0.012423511071306783
lstm_gaussian_conformal,gaussian,unseen_vessel,pitch,20,2.0,0.8999640804597702,0.2926160784458198,-0.6073480020139503,0.059671071285532756,0.06707475661948804,0.007403685333955287,0.014611748270356356,0.019323897895226816
lstm_gaussian_conformal,gaussian,unseen_vessel,pitch,30,3.0,0.8988312334217508,0.3520529398762157,-0.546778293545535,0.11612621475291919,0.11695898871516518,0.0008327739622459862,0.02843554104563099,0.03368405162345701
lstm_gaussian_conformal,gaussian,unseen_vessel,pitch,50,5.0,0.8997077316042833,0.48706052289026425,-0.41264720871401905,0.2982537236467046,0.23620086666645998,-0.062052856980244625,0.07302574647450849,0.06801365951498904
lstm_gaussian_conformal,gaussian,unseen_vessel,pitch,100,10.0,0.9011053701247667,0.7770831798310246,-0.12402219029374206,1.2084323091805877,1.066902717956668,-0.14152959122391984,0.29595727791990206,0.3070503294334602
lstm_gaussian_conformal,gaussian,unseen_vessel,pitch,150,15.0,0.8986485656744277,0.8544260855683269,-0.04422248010610086,2.172049325620446,2.023994495989619,-0.14805482963082728,0.5322484309424085,0.5822523233767815
lstm_gaussian_conformal,gaussian,unseen_vessel,pitch_rate,10,1.0,0.899208081589547,0.3247656019746537,-0.5744424796148933,0.04219059795819249,0.04968401312181309,0.0074934151636206064,0.013885654193941119,0.021481344135402897
lstm_gaussian_conformal,gaussian,unseen_vessel,pitch_rate,20,2.0,0.898708431574811,0.36709693363788193,-0.5316114979369291,0.07294671497787591,0.07780250241036422,0.004855787432488309,0.024004909414312815,0.03363781186521712
lstm_gaussian_conformal,gaussian,unseen_vessel,pitch_rate,30,3.0,0.9020478743000294,0.4060151414677277,-0.4960327328323017,0.11672772389239523,0.10257801043612118,-0.014149713456274055,0.03840670036845998,0.04435457363133277
lstm_gaussian_conformal,gaussian,unseen_vessel,pitch_rate,50,5.0,0.8983285133608409,0.5512252554278416,-0.34710325793299923,0.32189181818128765,0.2579173549103844,-0.06397446327090323,0.10591951639725844,0.11149803044151886
lstm_gaussian_conformal,gaussian,unseen_vessel,pitch_rate,100,10.0,0.8982778575989783,0.7769335150800668,-0.12134434251891146,1.1427903875116383,0.9423067629052523,-0.20048362460638602,0.3760781975321727,0.40722385859056326
lstm_gaussian_conformal,gaussian,unseen_vessel,pitch_rate,150,15.0,0.89951585371844,0.8973115605658709,-0.0022042931525690923,1.8071078240736977,1.5960068837618913,-0.21110094031180648,0.5948858874172612,0.689448335329018
lstm_gaussian_conformal,gaussian,unseen_vessel,roll,10,1.0,0.9024193498870222,0.19395400456822873,-0.7084653453187935,0.07200912776845655,0.08155340910558956,0.009544281337133004,0.005943608206046346,0.011457228041573038
lstm_gaussian_conformal,gaussian,unseen_vessel,roll,20,2.0,0.9011752136752137,0.1581350083505256,-0.7430402053246881,0.07390420933600143,0.08520525883271586,0.011301049496714427,0.0060985784660711195,0.011973000750500796
lstm_gaussian_conformal,gaussian,unseen_vessel,roll,30,3.0,0.90015058576481,0.14411487498771983,-0.7560357107770902,0.09596533438027065,0.11427295755526774,0.018307623174997095,0.007917262000443329,0.01606316478457753
lstm_gaussian_conformal,gaussian,unseen_vessel,roll,50,5.0,0.898492760831123,0.16930613886432852,-0.7291866219667944,0.17224245906248534,0.2050551595101943,0.03281270044770895,0.014204618054757326,0.028823882831803222
