regime,model,seed,dof,horizon_samples,gamma,gamma_realization,alpha,n_windows_total,n_windows_used,n_realizations,window_stride,order_index,n_degenerate_cells,fitted_on,norm_stats_fitted_on,calibration_time_s
id,dlinear_quantile,1,roll,100,0.5966231822967529,0.4518391638994217,0.1,271440,24677,240,11,22211,0,id/val,id/train,16.04638675300157
id,dlinear_quantile,1,pitch,100,1.2363159656524658,0.8681687116622925,0.1,271440,24677,240,11,22211,0,id/val,id/train,16.04638675300157
id,dlinear_quantile,1,heave,100,0.9901294708251953,0.644740641117096,0.1,271440,24677,240,11,22211,0,id/val,id/train,16.04638675300157
id,dlinear_quantile,1,roll_rate,100,0.6429567933082581,0.45889148116111755,0.1,271440,24677,240,11,22211,0,id/val,id/train,16.04638675300157
id,dlinear_quantile,1,pitch_rate,100,1.3843797445297241,0.9756412208080292,0.1,271440,24677,240,11,22211,0,id/val,id/train,16.04638675300157
id,dlinear_quantile,1,heave_rate,100,1.0481178760528564,0.6626070737838745,0.1,271440,24677,240,11,22211,0,id/val,id/train,16.04638675300157
id,dlinear_quantile,1,roll,150,0.7215784788131714,0.5947750210762024,0.1,271440,24677,240,11,22211,0,id/val,id/train,16.04638675300157
id,dlinear_quantile,1,pitch,150,1.1425559520721436,0.7992201149463654,0.1,271440,24677,240,11,22211,0,id/val,id/train,16.04638675300157
id,dlinear_quantile,1,heave,150,1.0687744617462158,0.738221287727356,0.1,271440,24677,240,11,22211,0,id/val,id/train,16.04638675300157
id,dlinear_quantile,1,roll_rate,150,0.7636217474937439,0.5905466377735138,0.1,271440,24677,240,11,22211,0,id/val,id/train,16.04638675300157
id,dlinear_quantile,1,pitch_rate,150,1.1567356586456299,0.8076472282409668,0.1,271440,24677,240,11,22211,0,id/val,id/train,16.04638675300157
id,dlinear_quantile,1,heave_rate,150,1.0959020853042603,0.7316669225692749,0.1,271440,24677,240,11,22211,0,id/val,id/train,16.04638675300157
id,dlinear_quantile,2,roll,10,0.45530515909194946,0.411797434091568,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
id,dlinear_quantile,2,pitch,10,1.306552529335022,0.9474005699157715,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
id,dlinear_quantile,2,heave,10,0.7661703824996948,0.5028795003890991,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
id,dlinear_quantile,2,roll_rate,10,0.5011630654335022,0.35456329584121704,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
id,dlinear_quantile,2,pitch_rate,10,1.7586814165115356,1.4534072875976562,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
id,dlinear_quantile,2,heave_rate,10,0.8279987573623657,0.5035343766212463,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
id,dlinear_quantile,2,roll,20,0.4522894322872162,0.3812459111213684,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
id,dlinear_quantile,2,pitch,20,1.3752840757369995,0.945594310760498,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
id,dlinear_quantile,2,heave,20,0.8887604475021362,0.5655562281608582,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
id,dlinear_quantile,2,roll_rate,20,0.5006389021873474,0.3381638526916504,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
id,dlinear_quantile,2,pitch_rate,20,1.8867830038070679,1.4615432024002075,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
id,dlinear_quantile,2,heave_rate,20,0.9277258515357971,0.5705384016036987,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
id,dlinear_quantile,2,roll,30,0.5160483717918396,0.4442862272262573,0.1,271440,24677,240,11,22211,0,id/val,id/train,17.135291085000063
