model,head,n_realizations,dof,horizon_samples,horizon_s,n_windows,n_quantiles,alpha,picp,mean_interval_width,winkler,crps,pinball,crossing_rate,picp_ci_lo,picp_ci_hi,seed,deterministic,n_params,fit_time_s,best_epoch,epochs_run,best_val_loss,val_loss_name,regime,signal_std
dlinear_quantile_conformal,quantile,384,roll_rate,100,10.0,434304,9,0.1,0.9024300950486295,3.037083729705193,4.720473033372906,0.42221417598060423,0.21110708799030212,0.0,0.8878347309718538,0.9188918361332155,0,False,543600,,,,,conformal,id,1.972726817260997
dlinear_quantile_conformal,quantile,384,roll_rate,150,15.0,434304,9,0.1,0.9019166298261125,4.471500704130496,7.020322143934425,0.6324382216745575,0.31621911083727877,0.0,0.8867060284961686,0.9183716935602712,0,False,543600,,,,,conformal,id,1.9741281062750025
dlinear_quantile_conformal,quantile,384,pitch_rate,10,1.0,434304,9,0.1,0.9012097516946654,0.11027148862548788,0.2355869621736777,0.023650590132983883,0.01182529506649194,0.0,0.8841495242963454,0.9172410339301503,0,False,543600,,,,,conformal,id,0.923617350427682
dlinear_quantile_conformal,quantile,384,pitch_rate,20,2.0,434304,9,0.1,0.9007768751842028,0.7103806709824086,1.275471389955758,0.12736839515821174,0.0636841975791059,0.0,0.8849058493589744,0.915577913166814,0,False,543600,,,,,conformal,id,0.9237371608217294
dlinear_quantile_conformal,quantile,384,pitch_rate,30,3.0,434304,9,0.1,0.9011729111405835,1.4344614262241262,2.3834710295178296,0.23905437687942602,0.11952718843971312,0.0,0.8856770257699675,0.9156423265730916,0,False,543600,,,,,conformal,id,0.9238676654473804
dlinear_quantile_conformal,quantile,384,pitch_rate,50,5.0,434304,9,0.1,0.9020732021809608,1.6953914699770447,2.763819320836262,0.2601470566157295,0.13007352830786487,0.0,0.8864536707007074,0.9170328272362216,0,False,543600,,,,,conformal,id,0.923797316378609
dlinear_quantile_conformal,quantile,384,pitch_rate,100,10.0,434304,9,0.1,0.9034961685823755,3.112216312499544,4.651331590843672,0.4804396945866324,0.2402198472933163,0.0,0.8895149480548188,0.9167291229185086,0,False,543600,,,,,conformal,id,0.9237004804982916
dlinear_quantile_conformal,quantile,384,pitch_rate,150,15.0,434304,9,0.1,0.9036757662835249,3.2230589348212297,4.69637222972412,0.47842793784254534,0.23921396892127259,0.0,0.8909915635131151,0.9163618686450045,0,False,543600,,,,,conformal,id,0.9234069683655248
dlinear_quantile_conformal,quantile,384,heave_rate,10,1.0,434304,9,0.1,0.9028514588859416,0.02253241984363796,0.03362854486565026,0.003162645753076802,0.0015813228765384007,0.0,0.8901419282346007,0.9155615651709401,0,False,543600,,,,,conformal,id,0.4495602477358838
dlinear_quantile_conformal,quantile,384,heave_rate,20,2.0,434304,9,0.1,0.9003532088122606,0.15755966426689477,0.2385610995590079,0.021808278065370463,0.01090413903268522,0.0,0.8873657046676983,0.9135593961833186,0,False,543600,,,,,conformal,id,0.4496058601569564
dlinear_quantile_conformal,quantile,384,heave_rate,30,3.0,434304,9,0.1,0.8997637599469496,0.40094638919903036,0.6160222442827776,0.05729417853370386,0.028647089266851944,0.0,0.8866059258031241,0.9136097641283525,0,False,543600,,,,,conformal,id,0.4496495382799816
dlinear_quantile_conformal,quantile,384,heave_rate,50,5.0,434304,9,0.1,0.9021261604774535,0.5084189365526194,0.7629292979811948,0.07565561934243381,0.03782780967121691,0.0,0.8894159966290893,0.9155171262525789,0,False,543600,,,,,conformal,id,0.4495925540262867
dlinear_quantile_conformal,quantile,384,heave_rate,100,10.0,434304,9,0.1,0.9027432397583259,1.1342522918428422,1.614254152683225,0.17131789710911993,0.08565894855456001,0.0,0.8909753882073386,0.9147667877799882,0,False,543600,,,,,conformal,id,0.4493860488108614
dlinear_quantile_conformal,quantile,384,heave_rate,150,15.0,434304,9,0.1,0.9024277925139994,1.4733353972472298,2.100573756096731,0.22573041360949778,0.11286520680474882,0.0,0.8908535841254052,0.9145300872200117,0,False,543600,,,,,conformal,id,0.4491394554432332
dlinear_quantile_conformal,quantile,384,roll,10,1.0,434304,9,0.1,0.9017094017094017,0.08475993777275687,0.14619682635587877,0.01096499278667582,0.005482496393337915,0.0,0.8852223903072503,0.9192779136273209,1,False,543600,,,,,conformal,id,3.682816873957597
dlinear_quantile_conformal,quantile,384,roll,20,2.0,434304,9,0.1,0.9012465922487474,0.6318403580220837,1.1075461167253462,0.08155566064870644,0.04077783032435322,0.0,0.8844293398172708,0.9191359048040083,1,False,543600,,,,,conformal,id,3.683691963859013
dlinear_quantile_conformal,quantile,384,roll,30,3.0,434304,9,0.1,0.9015551318891836,1.8018768135295775,3.203607586463037,0.2418129084988079,0.12090645424940392,0.0,0.884522995413351,0.9196139109932213,1,False,543600,,,,,conformal,id,3.6845301229084
dlinear_quantile_conformal,quantile,384,roll,50,5.0,434304,9,0.1,0.8990545792808724,2.2303581476347074,3.9852577866238037,0.32005490666951364,0.16002745333475682,0.0,0.8821737193302387,0.9172160514294135,1,False,543600,,,,,conformal,id,3.685983647312865
dlinear_quantile_conformal,quantile,384,roll,100,10.0,434304,9,0.1,0.899752247273799,5.250124085912363,8.693187335667046,0.7385380057265586,0.36926900286327924,0.0,0.8839912250405246,0.9174722659703801,1,False,543600,,,,,conformal,id,3.690074381032924
dlinear_quantile_conformal,quantile,384,roll,150,15.0,434304,9,0.1,0.8991904288240495,7.887197244969547,13.04845903527368,1.1285562585420927,0.5642781292710465,0.0,0.8829797791408783,0.9168905305960802,1,False,543600,,,,,conformal,id,3.6937274583324062
dlinear_quantile_conformal,quantile,384,pitch,10,1.0,434304,9,0.1,0.9043227785145889,0.09956221055713659,0.16828999266603362,0.016602187710085196,0.008301093855042595,0.0,0.8883905628315649,0.919102863432066,1,False,543600,,,,,conformal,id,1.2413165389175655
dlinear_quantile_conformal,quantile,384,pitch,20,2.0,434304,9,0.1,0.9023610190097259,0.6604899478223374,1.035341714221026,0.09804701207765627,0.04902350603882815,0.0,0.8880063849285293,0.9154862147251694,1,False,543600,,,,,conformal,id,1.2413790185919036
dlinear_quantile_conformal,quantile,384,pitch,30,3.0,434304,9,0.1,0.9023978595638078,1.4828876684253933,2.2318064880785338,0.21266642822626083,0.10633321411313035,0.0,0.8892157336796346,0.915483739500442,1,False,543600,,,,,conformal,id,1.2413993725281671
dlinear_quantile_conformal,quantile,384,pitch,50,5.0,434304,9,0.1,0.9008712791040377,1.7681328665026486,2.658717805959448,0.25483748020305536,0.12741874010152765,0.0,0.8872398711501621,0.9139404656646035,1,False,543600,,,,,conformal,id,1.2415168463730468
dlinear_quantile_conformal,quantile,384,pitch,100,10.0,434304,9,0.1,0.9024876584143825,3.7177066782232573,5.392003365512247,0.5501754035797919,0.275087701789896,0.0,0.8900273771367521,0.9150836741084586,1,False,543600,,,,,conformal,id,1.2411836658196425
dlinear_quantile_conformal,quantile,384,pitch,150,15.0,434304,9,0.1,0.9030448717948718,4.267620298036598,6.1669825989600975,0.6262193771220254,0.31310968856101307,0.0,0.890811217488211,0.9154220315723548,1,False,543600,,,,,conformal,id,1.2405036351372414
dlinear_quantile_conformal,quantile,384,heave,10,1.0,434304,9,0.1,0.8963974543177129,0.0340977340092297,0.06015562284023313,0.005086951676141533,0.0025434758380707668,0.0,0.8803046944076038,0.9125919286951076,1,False,543600,,,,,conformal,id,0.7591945699315659
dlinear_quantile_conformal,quantile,384,heave,20,2.0,434304,9,0.1,0.8972309718538167,0.25548788340688183,0.4595849838234853,0.03663428247605146,0.018317141238025733,0.0,0.8809796824344238,0.9136090733679635,1,False,543600,,,,,conformal,id,0.7592353662201028
dlinear_quantile_conformal,quantile,384,heave,30,3.0,434304,9,0.1,0.8965609342764516,0.6830758245371243,1.2570372323920718,0.10494017663152903,0.052470088315764545,0.0,0.8799496435676393,0.9133195872015915,1,False,543600,,,,,conformal,id,0.7592379733777742
dlinear_quantile_conformal,quantile,384,heave,50,5.0,434304,9,0.1,0.8970375589448866,0.8475826463727727,1.5311481697282017,0.14201709860189968,0.07100854930094987,0.0,0.8806798924255821,0.9134942920166519,1,False,543600,,,,,conformal,id,0.7593097520603712
dlinear_quantile_conformal,quantile,384,heave,100,10.0,434304,9,0.1,0.8992410845859121,1.8087848328279303,2.8145358559306968,0.2835261945740903,0.141763097287045,0.0,0.8854027938955201,0.9135540427903036,1,False,543600,,,,,conformal,id,0.7591324816869609
dlinear_quantile_conformal,quantile,384,heave,150,15.0,434304,9,0.1,0.8990776046271736,2.424386637714349,3.6957843335681013,0.37819935670297766,0.18909967835148878,0.0,0.8853816105769231,0.9131353268678161,1,False,543600,,,,,conformal,id,0.758700750262978
dlinear_quantile_conformal,quantile,384,roll_rate,10,1.0,434304,9,0.1,0.9002311744768642,0.053414333112606134,0.08255143980471229,0.007045924039504597,0.0035229620197522976,0.0,0.8862095444665489,0.9147278173813734,1,False,543600,,,,,conformal,id,1.9695482829582032
dlinear_quantile_conformal,quantile,384,roll_rate,20,2.0,434304,9,0.1,0.9018820918066608,0.3767943921992762,0.5907848147816024,0.0486613491562023,0.02433067457810116,0.0,0.8876138603374595,0.9171577973032714,1,False,543600,,,,,conformal,id,1.969895124963157
dlinear_quantile_conformal,quantile,384,roll_rate,30,3.0,434304,9,0.1,0.9008643715001473,0.998146279827289,1.6280379082909153,0.13399500824888677,0.0669975041244434,0.0,0.8856728812076334,0.9182047597995874,1,False,543600,,,,,conformal,id,1.9702531268505945
