model,regime,dof,horizon_samples,horizon_s,n_seeds,deterministic,n_windows,rmse_mean,rmse_std,mae_mean,mae_std,rmse_persistence,skill_mean,skill_std,skill_ci_lo,skill_ci_hi,signal_std,nrmse_mean,nrmse_std,n_params,fit_time_s_mean
damped_persistence,id,pitch_imu,30,3.0,1,True,434304,1.354980921947959,,0.8518503764969027,,2.122484405245588,0.5924533338385269,,0.580963222913875,0.6037785406111958,1.2422108552955238,1.090781743028326,,6,0.13514864399985527
damped_persistence,id,pitch_imu,50,5.0,1,True,434304,1.2510580183922115,,0.7841472601429377,,2.234427726290816,0.6865110205393268,,0.6808298271650326,0.6914244009728946,1.2423348523490212,1.0070215900541601,,6,0.13514864399985527
damped_persistence,id,pitch_imu,100,10.0,1,True,434304,1.241943921577788,,0.7814032132487201,,1.5593436358220714,0.36566261389137344,,0.33540535225908313,0.3971029317101532,1.2420100845733013,0.9999467290995983,,6,0.13514864399985527
damped_persistence,id,pitch_imu,150,15.0,1,True,434304,1.2594021755600162,,0.7925796041757787,,1.7853551102885246,0.5024008195230169,,0.48301622001534433,0.5199761318144709,1.241343687207605,1.0145475330792826,,6,0.13514864399985527
damped_persistence,id,pitch_rate_imu,10,1.0,1,True,434304,0.7863604807679253,,0.49727549243710933,,0.7534204829087303,-0.08935269722053563,,-0.11789488978243143,-0.061894555536838196,0.9238644470022951,0.8511643491850616,,6,0.13514864399985527
damped_persistence,id,pitch_rate_imu,20,2.0,1,True,434304,0.9874307065905544,,0.6251235533341334,,1.3417844978848232,0.45843858153230055,,0.44470398307483966,0.4709193426675782,0.9239895988371308,1.0686599804080763,,6,0.13514864399985527
damped_persistence,id,pitch_rate_imu,30,3.0,1,True,434304,0.9884812444001682,,0.6263883005785688,,1.664371083650498,0.6472747556649657,,0.6406514983166638,0.6535806911165142,0.9241169026270519,1.069649566618837,,6,0.13514864399985527
damped_persistence,id,pitch_rate_imu,50,5.0,1,True,434304,0.9102200314713037,,0.5770144289814743,,1.5495762479562236,0.654962041036625,,0.6448958825156816,0.6633679141587702,0.9240478216497802,0.9850356335954685,,6,0.13514864399985527
damped_persistence,id,pitch_rate_imu,100,10.0,1,True,434304,0.934910070252659,,0.5894724607559669,,1.2735265809317058,0.46108081094974573,,0.4393042082571206,0.48275053699955167,0.9239494241237814,1.0118628204560784,,6,0.13514864399985527
damped_persistence,id,pitch_rate_imu,150,15.0,1,True,434304,0.9291325934741046,,0.5894603732101055,,1.3083418485724552,0.49567218135199353,,0.48281014479482076,0.5089064777354483,0.9236625396742156,1.005922134507932,,6,0.13514864399985527
