control,regime,subject_model,null_model,dof,horizon_samples,horizon_s,skill_subject,skill_null,excess,tol,asserted,passed
untrained,id,untrained,persistence,heave_rate_imu,150,15.0,0.08964938246277532,0.0,0.08964938246277532,0.0,True,False
shuffle,unseen_seastate,shuffled,window_mean,roll_imu,10,1.0,-3.662354731869617,-3.6358606080140854,-0.00571503893144043,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,roll_imu,20,2.0,-0.3100798812843917,-0.30476453370675416,-0.00407379832937127,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,roll_imu,30,3.0,0.35215789914048046,0.35272361728742463,-0.0008739978192520148,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,roll_imu,50,5.0,0.707559826430284,0.7076533464551229,-0.000319894288868694,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,roll_imu,100,10.0,0.2245735437265004,0.22342276210290313,0.001481863705809161,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,roll_imu,150,15.0,0.3601799986222385,0.3598141599762219,0.0005714569475685494,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch_imu,10,1.0,-1.3989251845300066,-1.4097028676829026,0.004472619133851774,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch_imu,20,2.0,0.26179059884063893,0.2591036894099643,0.0036265660825531842,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch_imu,30,3.0,0.5746545149643945,0.5744913462812614,0.0003834673671311295,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch_imu,50,5.0,0.6951315104453685,0.6952536946445143,-0.00040093742565061596,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch_imu,100,10.0,0.30897201096472304,0.30818580546319685,0.0011364402577090926,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch_imu,150,15.0,0.5111740229381898,0.5108892099974174,0.0005823076214919176,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave_imu,10,1.0,-2.6793233518513735,-2.6904715674608997,0.003020810594456469,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave_imu,20,2.0,-0.07530004903176257,-0.07412147821472392,-0.0010972416443972843,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave_imu,30,3.0,0.43301607861809055,0.43433936296897047,-0.0023393608539308275,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave_imu,50,5.0,0.6946785551683896,0.6928298244302113,0.006018588018022686,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave_imu,100,10.0,0.27273266621432346,0.27068860227837876,0.0028027313741844084,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave_imu,150,15.0,0.46057427476667223,0.4606359635612949,-0.00011437320706431109,0.02,True,True
