model,regime,dof,horizon_samples,horizon_s,n_seeds,deterministic,n_windows,rmse_mean,rmse_std,mae_mean,mae_std,rmse_persistence,skill_mean,skill_std,skill_ci_lo,skill_ci_hi,n_params,fit_time_s_mean
ar20,id,heave_rate,10,1.0,1,True,434304,0.005411377990230496,,0.003725879719420575,,0.2852226587419099,0.999640045428139,,0.9995994431062805,0.9996769251676617,108900,0.05440116099634906
ar20,id,heave_rate,20,2.0,1,True,434304,0.02626501582972955,,0.01800595997832743,,0.5351982235990471,0.9975916144811264,,0.9973202519172707,0.9978499742106837,108900,0.05440116099634906
ar20,id,heave_rate,30,3.0,1,True,434304,0.06180740959049883,,0.041897134715641465,,0.7216245802205107,0.9926640147613336,,0.9918440148803008,0.9934432739845059,108900,0.05440116099634906
ar20,id,heave_rate,50,5.0,1,True,434304,0.11041873631896172,,0.07329569092192073,,0.8524864976952896,0.9832231459249485,,0.9815711363838271,0.9846727069474985,108900,0.05440116099634906
ar20,id,heave_rate,100,10.0,1,True,434304,0.2889501155298725,,0.19619307395846988,,0.47861232963563727,0.6355164099055526,,0.6188771424790093,0.6521421470956466,108900,0.05440116099634906
ar20,id,heave_rate,150,15.0,1,True,434304,0.40270181422196144,,0.2730999987182054,,0.6814233587032514,0.6507526345093259,,0.6273185869595926,0.6724885303690367,108900,0.05440116099634906
ar20,id,pitch,10,1.0,1,True,434304,0.008379119653901066,,0.0054091542445586435,,0.8963189522817477,0.9999126080106762,,0.9998988049976608,0.9999243996548521,108900,0.05440116099634906
ar20,id,pitch,20,2.0,1,True,434304,0.08190805713656583,,0.054553328143286846,,1.6396866224861668,0.9975046495779137,,0.9971633995619581,0.9977998101694243,108900,0.05440116099634906
ar20,id,pitch,30,3.0,1,True,434304,0.267049273336008,,0.1827618422032414,,2.1223575061775537,0.9841676377593345,,0.9823242194554686,0.9858134347716689,108900,0.05440116099634906
ar20,id,pitch,50,5.0,1,True,434304,0.600977965966777,,0.41250158392342356,,2.2343246831224586,0.9276523327660952,,0.9204887270446489,0.9338079731275741,108900,0.05440116099634906
