model,backend,device,batch_size,intra_op_threads,p50_ms_run1,p50_ms_run2,drift_frac,drift_pct,within_10pct,p99_ms_run1,p99_ms_run2,p99_drift_pct,p99_within_10pct,git_commit
tcn,ort-cuda,cuda,32,1,0.9940785021171904,1.0417465018690564,0.0479519471051254,4.795194710512546,True,1.7912809415429365,1.863627096900018,4.038794455925234,True,7bd8d86-dirty
tcn,ort-trt,cuda,1,1,0.4454629961401224,0.4604255009326152,0.0335886592649466,3.3588659264946696,True,0.8764045395946594,0.9194354570354334,4.909937762380373,True,7bd8d86-dirty
tcn,ort-trt,cuda,32,1,0.7026575040072203,0.7066139951348305,0.0056307533969914,0.5630753396991475,True,1.137421765452018,1.0611389209225308,-6.7066454016001655,True,7bd8d86-dirty
tcn,torch-compile,cpu,1,1,2.7177635056432337,2.6765939983306453,-0.0151483038266953,-1.514830382669536,True,3.2799684975179844,3.207567642821232,-2.207364331442196,True,7bd8d86-dirty
tcn,torch-compile,cpu,32,1,29.23183100210736,26.88791299442528,-0.0801837561086441,-8.01837561086441,True,35.07320520729991,29.681558572629,-15.372551789332114,False,7bd8d86-dirty
tcn,torch-compile,cuda,1,1,1.1743284994736314,1.2208629996166565,0.039626476036205546,3.9626476036205545,True,2.3615450970828533,1.6832835228706244,-28.72109345064235,False,7bd8d86-dirty
tcn,torch-compile,cuda,32,1,1.3812649995088577,1.3982634991407394,0.012306472427757124,1.2306472427757125,True,2.007254432537593,1.9313708748086356,-3.7804653211314405,True,7bd8d86-dirty
tcn,torch-eager,cpu,1,1,3.9519314959761687,3.6687949977931567,-0.0716450926518589,-7.164509265185891,True,4.684226193494396,4.33177506129141,-7.524212487699293,True,7bd8d86-dirty
tcn,torch-eager,cpu,32,1,38.35667049861513,34.556278500531334,-0.0990803411422534,-9.908034114225346,True,47.68659828216187,39.90695865562884,-16.314100621102927,False,7bd8d86-dirty
tcn,torch-eager,cuda,1,1,2.9625615061377175,2.9682664971915074,0.001925695396355647,0.1925695396355647,True,3.8717817663564342,3.486103090981487,-9.961271028400253,True,7bd8d86-dirty
tcn,torch-eager,cuda,32,1,3.148369003611151,3.093293998972513,-0.01749318601963995,-1.749318601963995,True,3.754879539628746,3.5802841893746518,-4.649825604561389,True,7bd8d86-dirty
tcn_quantile,ort-cpu,cpu,1,1,0.9042730016517452,0.9235545076080598,0.0213226602155487,2.132266021554873,True,1.10122254176531,1.126347219251329,2.281525898093514,True,7bd8d86-dirty
tcn_quantile,ort-cpu,cpu,32,1,26.121844501176383,26.7207920041983,0.0229289896812204,2.292898968122044,True,29.606658126722323,31.55439777096035,6.578721704764239,True,7bd8d86-dirty
tcn_quantile,ort-cuda,cuda,1,1,0.7974979962455109,0.8470315078739077,0.0621111424249244,6.211114242492447,True,1.7398654617136344,1.6728974586294498,-3.8490334199879017,True,7bd8d86-dirty
tcn_quantile,ort-cuda,cuda,32,1,2.6269855006830767,2.7103810061817057,0.0317457045259459,3.1745704525945926,True,3.734598023438594,3.793755363003583,1.5840349936918054,True,7bd8d86-dirty
tcn_quantile,ort-trt,cuda,1,1,0.4425964943948202,0.4807590012205764,0.086224150685914,8.622415068591403,True,0.7662914325192104,0.8700184227200225,13.536232534899408,False,7bd8d86-dirty
tcn_quantile,ort-trt,cuda,32,1,0.926618005905766,0.9694754990050568,0.0462515220146168,4.625152201461682,True,1.4291727279487532,1.3382793233904522,-6.359861392594402,True,7bd8d86-dirty
tcn_quantile,torch-compile,cpu,1,1,2.8181149973534048,2.828535500157159,0.0036976854434756,0.3697685443475634,True,3.466791865794221,3.459985068184324,-0.1963428401069567,True,7bd8d86-dirty
tcn_quantile,torch-compile,cpu,32,1,27.1836770043592,28.657668000960257,0.0542233854663844,5.422338546638446,True,30.81961861258605,32.469614255824126,5.353718564720491,True,7bd8d86-dirty
tcn_quantile,torch-compile,cuda,1,1,1.2166250016889535,1.2356244988040999,0.015616559818161492,1.5616559818161493,True,1.978302965144394,1.6974929104617331,-14.194491927183906,False,7bd8d86-dirty
tcn_quantile,torch-compile,cuda,32,1,1.6441189945908263,1.6834315028972924,0.02391098724350532,2.391098724350532,True,2.212475439591799,2.198055140906945,-0.6517721474691083,True,7bd8d86-dirty
tcn_quantile,torch-eager,cpu,1,1,3.754444493097253,3.7961455018376,0.0111071048771706,1.110710487717062,True,4.319797940843273,4.6006641097483225,6.501835797676716,True,7bd8d86-dirty
tcn_quantile,torch-eager,cpu,32,1,37.07855449465569,36.494594503892586,-0.0157492652753567,-1.5749265275356794,True,40.78734057373367,42.54690252651926,4.313990390240631,True,7bd8d86-dirty
tcn_quantile,torch-eager,cuda,1,1,2.908919494075235,2.9391139978542924,0.01037997230262175,1.037997230262175,True,3.461510069464566,3.702456580067519,6.960734065991697,True,7bd8d86-dirty
tcn_quantile,torch-eager,cuda,32,1,3.4746025048661977,3.4106980019714683,-0.018391888800296095,-1.8391888800296095,True,6.899106860364552,3.8918296624615323,-43.58936973682581,False,7bd8d86-dirty
