model,seed,vessel,ss,heading_deg,speed_kn,dof,horizon_samples,horizon_s,n_realizations,n_windows,rmse,mae,rmse_persistence,skill,sse,sae,sse_persistence,regime
dlinear,1,frigate,SS3,90.0,12.0,roll,50,5.0,8,9048,0.13544502649169204,0.1090202319899191,0.7328751986548888,0.965844073123069,165.9887738616805,986.415059044788,4859.735601957549,id
dlinear,1,frigate,SS3,90.0,12.0,roll,100,10.0,8,9048,0.3453033490867997,0.2789442050409979,0.5132017155932174,0.5472844811652177,1078.8328773537892,2523.887167210949,2383.02605603301,id
dlinear,1,frigate,SS3,90.0,12.0,roll,150,15.0,8,9048,0.41809872962520533,0.3398805860647197,0.5387572093879651,0.39775735266732337,1581.6496437181772,3075.239542713584,2626.266423879609,id
dlinear,1,frigate,SS3,90.0,12.0,roll_rate,10,1.0,8,9048,0.0058085876509806015,0.004664241918699243,0.23351197392353104,0.9993812392113304,0.3052767196360771,42.202060880390746,493.36791410532646,id
dlinear,1,frigate,SS3,90.0,12.0,roll_rate,20,2.0,8,9048,0.035575467290144665,0.028613411782176922,0.42776928376776874,0.9930835692414944,11.451274322109159,258.8941498051368,1655.6623961031978,id
dlinear,1,frigate,SS3,90.0,12.0,roll_rate,30,3.0,8,9048,0.08675086434527023,0.06982612832212078,0.5515976001341886,0.975265514265539,68.09264638016657,631.7868090585488,2752.9436880629073,id
dlinear,1,frigate,SS3,90.0,12.0,roll_rate,50,5.0,8,9048,0.11107821478087135,0.08911995660119297,0.5398151689058089,0.9576583659567834,111.63756994049594,806.357367327594,2636.590969223142,id
dlinear,1,frigate,SS3,90.0,12.0,roll_rate,100,10.0,8,9048,0.28028113004589705,0.22550827362328904,0.4295213915253417,0.5741877770047868,710.7883673075162,2040.3988597435193,1669.2530860381305,id
dlinear,1,frigate,SS3,90.0,12.0,roll_rate,150,15.0,8,9048,0.32287089831180577,0.2615039771392857,0.37657094608342845,0.2648699342445777,943.214342404932,2366.0879851562568,1283.0577694243557,id
dlinear,2,frigate,SS3,90.0,12.0,heave,10,1.0,8,9048,0.001649236887329414,0.0013340194182528964,0.09012439059636491,0.9996651260249638,0.024610399945657474,12.070207696352206,73.49152750075291,id
dlinear,2,frigate,SS3,90.0,12.0,heave,20,2.0,8,9048,0.014013823459569388,0.01130806297584122,0.1661977176489111,0.9928901052236692,1.7769118195056828,102.31535380541135,249.92097287024652,id
dlinear,2,frigate,SS3,90.0,12.0,heave,30,3.0,8,9048,0.031811717329816726,0.02571159424388017,0.21663685170074146,0.9784369813601556,9.15644353250412,232.6385047186278,424.6364428579922,id
dlinear,2,frigate,SS3,90.0,12.0,heave,50,5.0,8,9048,0.041840397919354046,0.0337106459926043,0.21870785455343622,0.9634015366024352,15.839599789555374,305.0139249410837,432.7941208211848,id
dlinear,2,frigate,SS3,90.0,12.0,heave,100,10.0,8,9048,0.10692590956997595,0.08651349259006395,0.16081506889271702,0.5579082358972298,103.44714244289369,782.7740809548986,233.99472879310642,id
dlinear,2,frigate,SS3,90.0,12.0,heave,150,15.0,8,9048,0.13025553471431103,0.10575720752994337,0.14598006453265225,0.20383098931884425,153.51293112093794,956.8912137309276,192.81450177218179,id
dlinear,2,frigate,SS3,90.0,12.0,heave_rate,10,1.0,8,9048,0.001272191025520524,0.0010269751287095938,0.07158442367369668,0.9996841596665013,0.014643916608994582,9.292070964564404,46.36493524046711,id
dlinear,2,frigate,SS3,90.0,12.0,heave_rate,20,2.0,8,9048,0.011467610578918784,0.00924396336055394,0.13148106650478925,0.9923928945443962,1.189867123942277,83.63938048629205,156.41522664389464,id
dlinear,2,frigate,SS3,90.0,12.0,heave_rate,30,3.0,8,9048,0.0257636835196035,0.020776272034669932,0.17021877842769034,0.9770912721819686,6.005767331132519,187.98370936969354,262.16066552614814,id
dlinear,2,frigate,SS3,90.0,12.0,heave_rate,50,5.0,8,9048,0.03373524557715762,0.027168422994266726,0.16667984383607531,0.9590360731298713,10.297228353479447,245.81989125212533,251.3730772473446,id
dlinear,2,frigate,SS3,90.0,12.0,heave_rate,100,10.0,8,9048,0.08585611972734998,0.06932772602250406,0.13338196095938448,0.5856681519000566,66.69528076987606,627.2772650516167,160.97068346478667,id
dlinear,2,frigate,SS3,90.0,12.0,heave_rate,150,15.0,8,9048,0.10155017561001749,0.08229734775275867,0.10449499589925193,0.05556870191495611,93.30694052981693,744.6264024669605,98.79695931192535,id
dlinear,2,frigate,SS3,90.0,12.0,pitch,10,1.0,8,9048,0.0008317482446356158,0.000707982520883613,0.026772388314430285,0.9990348172422903,0.006259452928927666,6.40582584895493,6.485251501778603,id
dlinear,2,frigate,SS3,90.0,12.0,pitch,20,2.0,8,9048,0.005128572945327122,0.0041095175098977066,0.04855622405316954,0.9888441347314579,0.2379828526017378,37.18291442955445,21.332531979640876,id
dlinear,2,frigate,SS3,90.0,12.0,pitch,30,3.0,8,9048,0.010398999536191018,0.008348832496147473,0.06144162550754712,0.9713544131542101,0.9784434033682867,75.54023642514233,34.156863625647446,id
dlinear,2,frigate,SS3,90.0,12.0,pitch,50,5.0,8,9048,0.013395911370632042,0.010728608705427104,0.05485920004562097,0.94037263879978,1.6236675942380516,97.07245156670444,27.23024399463212,id
dlinear,2,frigate,SS3,90.0,12.0,pitch,100,10.0,8,9048,0.0330452466572093,0.026433905344481104,0.05316959982031564,0.6137297928082578,9.880310379400742,239.17397555686503,25.5787534100351,id
dlinear,2,frigate,SS3,90.0,12.0,pitch,150,15.0,8,9048,0.03536813880634534,0.028443336059582658,0.03385442565233782,-0.09142403157669765,11.318190635270195,257.3553046671039,10.370113088787006,id
dlinear,2,frigate,SS3,90.0,12.0,pitch_rate,10,1.0,8,9048,0.0006783908068253304,0.0005632262650582863,0.02328938171289532,0.9991515153499627,0.00416401705723179,5.096071246247375,4.907592679547796,id
dlinear,2,frigate,SS3,90.0,12.0,pitch_rate,20,2.0,8,9048,0.004551605131118895,0.0036452421294614914,0.04202528956095534,0.9882697375851788,0.1874484046715928,32.98215078736757,15.97989866234802,id
dlinear,2,frigate,SS3,90.0,12.0,pitch_rate,30,3.0,8,9048,0.009384430534292052,0.007519825102365252,0.05268956204314177,0.9682775537362125,0.7968350698263188,68.0393775262008,25.11896665220108,id
dlinear,2,frigate,SS3,90.0,12.0,pitch_rate,50,5.0,8,9048,0.011956910556559763,0.00957082116586923,0.04524799301132406,0.9301704377314335,1.293571840600896,86.59678990878479,18.524702125810013,id
dlinear,2,frigate,SS3,90.0,12.0,pitch_rate,100,10.0,8,9048,0.029078291845195534,0.023223197532669663,0.046511155623245155,0.6091379354059057,7.650509768427735,210.12349127559511,19.573426181363235,id
dlinear,2,frigate,SS3,90.0,12.0,pitch_rate,150,15.0,8,9048,0.029835713617138254,0.023943375095602022,0.02942476505970878,-0.028127206884928313,8.054256414133107,216.6396578650071,7.833910395714844,id
dlinear,2,frigate,SS3,90.0,12.0,roll,10,1.0,8,9048,0.005886000834373359,0.004732372723920931,0.2942914355961821,0.9995999766048284,0.31346801267966257,42.818508406036585,783.6241991424886,id
dlinear,2,frigate,SS3,90.0,12.0,roll,20,2.0,8,9048,0.04655253604200953,0.03752809983813149,0.5431877635935531,0.9926550856803183,19.608270160856613,339.5542473354137,2669.6390600927452,id
dlinear,2,frigate,SS3,90.0,12.0,roll,30,3.0,8,9048,0.10533773973703911,0.08506484087038677,0.7100279452708113,0.9779901487908327,100.39696460799327,769.6666801952595,4561.455852376555,id
dlinear,2,frigate,SS3,90.0,12.0,roll,50,5.0,8,9048,0.13692098526657356,0.11030478737036256,0.7328751986548888,0.9650956157189082,169.626078955229,998.0377161270404,4859.735601957549,id
dlinear,2,frigate,SS3,90.0,12.0,roll,100,10.0,8,9048,0.3455242103206128,0.27913207717245736,0.5132017155932174,0.5467051685983608,1080.2133942951964,2525.5870342563944,2383.02605603301,id
dlinear,2,frigate,SS3,90.0,12.0,roll,150,15.0,8,9048,0.4180883928631149,0.3398972450132608,0.5387572093879651,0.3977871310979715,1581.5714376256103,3075.3902728799835,2626.266423879609,id
dlinear,2,frigate,SS3,90.0,12.0,roll_rate,10,1.0,8,9048,0.004518035218841149,0.0036323685222893315,0.23351197392353104,0.999625647348165,0.184693586975658,32.86567038967387,493.36791410532646,id
dlinear,2,frigate,SS3,90.0,12.0,roll_rate,20,2.0,8,9048,0.038793062666526414,0.031192343958380466,0.42776928376776874,0.9917758893880664,13.616350681571761,282.22832813542647,1655.6623961031978,id
dlinear,2,frigate,SS3,90.0,12.0,roll_rate,30,3.0,8,9048,0.086515428172076,0.06963969493241923,0.5515976001341886,0.9753995876389326,67.72354993314505,630.0999597485292,2752.9436880629073,id
dlinear,2,frigate,SS3,90.0,12.0,roll_rate,50,5.0,8,9048,0.11200420305164478,0.08991950209225952,0.5398151689058089,0.956949473002022,113.5066307031659,813.5916549307641,2636.590969223142,id
dlinear,2,frigate,SS3,90.0,12.0,roll_rate,100,10.0,8,9048,0.2803940246295236,0.22559487153038374,0.4295213915253417,0.5738446816628928,711.3610802657781,2041.182397606912,1669.2530860381305,id
dlinear,2,frigate,SS3,90.0,12.0,roll_rate,150,15.0,8,9048,0.3229200043258214,0.26155091376116396,0.37657094608342845,0.2646463027391972,943.5012745453986,2366.5126677110115,1283.0577694243557,id
dlinear_ols,0,frigate,SS3,90.0,12.0,heave,10,1.0,8,9048,0.0005888951571092957,0.0004752332945291917,0.09012439059636491,0.9999573035975493,0.003137823834892244,4.299910848900127,73.49152750075291,id
dlinear_ols,0,frigate,SS3,90.0,12.0,heave,20,2.0,8,9048,0.005722612262728144,0.004616829866475626,0.1661977176489111,0.9988143990696098,0.296306537958996,41.77307663187146,249.92097287024652,id
dlinear_ols,0,frigate,SS3,90.0,12.0,heave,30,3.0,8,9048,0.019834972406709745,0.015990428180537114,0.21663685170074146,0.9916170180692125,3.55971962763243,144.6813941774998,424.6364428579922,id
dlinear_ols,0,frigate,SS3,90.0,12.0,heave,50,5.0,8,9048,0.039296178329733526,0.031670753725809304,0.21870785455343622,0.9677171497669764,13.971827784203436,286.5569797111226,432.7941208211848,id
dlinear_ols,0,frigate,SS3,90.0,12.0,heave,100,10.0,8,9048,0.09807054740648001,0.07939194741237045,0.16081506889271702,0.6281021080466467,87.02214636635291,718.3383401871278,233.99472879310642,id
dlinear_ols,0,frigate,SS3,90.0,12.0,heave,150,15.0,8,9048,0.1294018477902864,0.10518196716586188,0.14598006453265225,0.21423287799674895,151.50729613801803,951.6864389167183,192.81450177218179,id
