model,dof,horizon_samples,horizon_s,n_windows,rmse,mae,rmse_persistence,skill,n_realizations,skill_ci_lo,skill_ci_hi,seed,deterministic,n_params,fit_time_s,best_epoch,epochs_run,best_val_loss,regime
damped_persistence,roll_rate,50,5.0,434304,2.0773403558130084,1.1025111839426232,3.798345550151574,0.7008931405374084,384,0.6984005890843301,0.703345739611784,0,True,6,0.14750845600065077,,,,id
damped_persistence,roll_rate,100,10.0,434304,1.852883733588771,1.0043821393787926,1.958738621708589,0.10516417266875577,384,0.06539468485143891,0.1426857677193403,0,True,6,0.14750845600065077,,,,id
damped_persistence,roll_rate,150,15.0,434304,2.177093332560865,1.1441665205464582,2.8980935747304644,0.435675003617217,384,0.4160986140008665,0.45428302355810024,0,True,6,0.14750845600065077,,,,id
damped_persistence,pitch_rate,10,1.0,434304,0.7860204050304983,0.4960762642861588,0.7528444431836472,-0.09007691500804316,384,-0.11873225047996916,-0.06256308370672532,0,True,6,0.14750845600065077,,,,id
damped_persistence,pitch_rate,20,2.0,434304,0.9871837000051622,0.6242239421919248,1.3414123591158549,0.458409117056244,384,0.44465531131888414,0.4708951307997812,0,True,6,0.14750845600065077,,,,id
damped_persistence,pitch_rate,30,3.0,434304,0.9882498421341575,0.625540349058428,1.664055642972382,0.647306205211191,384,0.640685114137082,0.653602030344373,0,True,6,0.14750845600065077,,,,id
damped_persistence,pitch_rate,50,5.0,434304,0.9099725613542374,0.5760913454484434,1.549273352583568,0.6550147777802057,384,0.6449365152517635,0.6634335363658073,0,True,6,0.14750845600065077,,,,id
damped_persistence,pitch_rate,100,10.0,434304,0.9346563549664033,0.5885741524310981,1.2730898977022085,0.46100370169677884,384,0.43922805689685657,0.48269598382839657,0,True,6,0.14750845600065077,,,,id
damped_persistence,pitch_rate,150,15.0,434304,0.9288778246210105,0.5885323130423156,1.3079980284130317,0.49568369305301396,384,0.482804166126381,0.5089226639676494,0,True,6,0.14750845600065077,,,,id
damped_persistence,heave_rate,10,1.0,434304,0.33327947637441113,0.2233941473545821,0.2852226587419099,-0.3653660276152806,384,-0.4000658730061497,-0.327902183741085,0,True,6,0.14750845600065077,,,,id
