source_experiment,model,dof,horizon_samples,horizon_s,n_windows,rmse,mae,rmse_persistence,skill,signal_std,nrmse,n_realizations,skill_ci_lo,skill_ci_hi,regime,seed,deterministic,n_params,fit_time_s,best_epoch,epochs_run,best_val_loss,val_loss_name,matched_n_samples,matched_lookback,matched_stride,matched_max_horizon,matched_lookbacks,matched_n_origins,matched_origin_first,matched_origin_last,matched_origin_stride,matched_windows_before
deep,damped_persistence,roll,150,15.0,418944,4.112322240549667,2.0861544781477166,5.250462508623207,0.386550024239276,3.6967972023470375,1.112401361356479,384,0.3647831233127856,0.4069804336388401,id,0,True,6,0.12776377497357316,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,damped_persistence,pitch,10,1.0,418944,0.9887819684664962,0.6256298569478322,0.8961445522125455,-0.21743263081666742,1.2403442750018743,0.7971834823561402,384,-0.25484695688002473,-0.18262206349565013,id,0,True,6,0.12776377497357316,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,damped_persistence,pitch,20,2.0,418944,1.3098372648978993,0.8266564263597471,1.6391044953318454,0.3614110472911596,1.240393189409016,1.0559855343304245,384,0.34128191658787693,0.38022316708394316,id,0,True,6,0.12776377497357316,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,damped_persistence,pitch,30,3.0,418944,1.3536740370791425,0.8510425681823468,2.1211392967275144,0.5927230618861523,1.2402854523142828,1.0914213615529271,384,0.5811068823958665,0.6038946087052715,id,0,True,6,0.12776377497357316,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,damped_persistence,pitch,50,5.0,418944,1.2495090314957111,0.7831441950593837,2.2310378683549135,0.6863358273704578,1.240068055500173,1.0076132724761868,384,0.6805661587332796,0.6913360005804704,id,0,True,6,0.12776377497357316,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,damped_persistence,pitch,100,10.0,418944,1.240749051155904,0.7804681005619329,1.5609168249297358,0.36815816190418726,1.2401273775213297,1.000501298210041,384,0.3376568980265399,0.3992998687342466,id,0,True,6,0.12776377497357316,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,damped_persistence,pitch,150,15.0,418944,1.259236070140789,0.7922033878162053,1.7818458998404407,0.5005706895813239,1.2404643096284043,1.0151328501486738,384,0.4809171221741499,0.5189060896979439,id,0,True,6,0.12776377497357316,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,damped_persistence,heave,10,1.0,418944,0.5338027488403506,0.34546731086738164,0.44162565007972127,-0.46100947446073137,0.7586744785454769,0.7035991903454455,384,-0.5001915326672567,-0.42018360015326467,id,0,True,6,0.12776377497357316,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,damped_persistence,heave,20,2.0,418944,0.7663118258085049,0.49344614525466063,0.8379625081057451,0.1637004185642047,0.7587896097620423,1.0099134410246096,384,0.14100194285372136,0.18822265463200977,id,0,True,6,0.12776377497357316,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,damped_persistence,heave,30,3.0,418944,0.8408392699132784,0.5375444273003155,1.1508797208863502,0.4662153291319956,0.758921162789381,1.10794020662543,384,0.4513246509624676,0.4817791886086164,id,0,True,6,0.12776377497357316,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
