reading,model,head,regime,dof,horizon_samples,horizon_s,n_seeds,picp_mean,picp_std,picp_ci_lo,picp_ci_hi,band_lo,band_hi,verdict,mean_interval_width_mean,width_ratio_mean,crossing_rate_mean,n_params
B,dlinear_gaussian,gaussian,id,pitch_rate,50,5.0,3,0.840434350132626,0.0003565361679242,0.8198881428676688,0.8602608426355732,0.85,0.95,FAIL,1.1970636478981866,0.3938975628473577,0.0,120600
B,dlinear_gaussian,gaussian,id,pitch_rate,100,10.0,3,0.8384748931623932,7.182284280354266e-05,0.8187287591180371,0.8568856722480106,0.85,0.95,FAIL,2.305300200589698,0.7586458143878115,0.0,120600
B,dlinear_gaussian,gaussian,id,pitch_rate,150,15.0,3,0.8728586427939876,3.705578797210572e-05,0.857183677792514,0.8882385955459771,0.85,0.95,PASS,2.774369608094307,0.9133009687347532,0.0,120600
B,dlinear_gaussian,gaussian,id,roll,10,1.0,3,0.991690152519894,0.0047382073218871,0.98274866222738,0.9975179252320956,0.85,0.95,FAIL,0.3499108055491069,0.0288815154369496,0.0,120600
B,dlinear_gaussian,gaussian,id,roll,20,2.0,3,0.9828207891246684,0.0006406344877865,0.9776320273356912,0.9880781088822576,0.85,0.95,FAIL,1.9090731555982252,0.1575367971796192,0.0,120600
B,dlinear_gaussian,gaussian,id,roll,30,3.0,3,0.9705728399155124,0.0006284794880581,0.963044204059829,0.9780041169319188,0.85,0.95,FAIL,3.995470310888191,0.3296313764816931,0.0,120600
B,dlinear_gaussian,gaussian,id,roll,50,5.0,3,0.9707155970625796,0.0005753680372523,0.9632256437886826,0.9780533911730032,0.85,0.95,FAIL,4.698629215773553,0.3874900170043138,0.0,120600
B,dlinear_gaussian,gaussian,id,roll,100,10.0,3,0.9624441251596424,0.0002544726161327,0.9548493681844976,0.9712161297155908,0.85,0.95,FAIL,9.048574718505366,0.7453972808048892,0.0,120600
B,dlinear_gaussian,gaussian,id,roll,150,15.0,3,0.9410244130071715,2.063735641353322e-05,0.9302208821470674,0.953065824860006,0.85,0.95,PASS,10.889709602717296,0.8961778346115575,0.0,120600
B,dlinear_gaussian,gaussian,id,roll_rate,10,1.0,3,0.9937148479713136,0.0043514769375656,0.9859909763667846,0.998563333517536,0.85,0.95,FAIL,0.1872027941785281,0.0288927208991464,0.0,120600
B,dlinear_gaussian,gaussian,id,roll_rate,20,2.0,3,0.9865670129678752,0.0006490575167177,0.982316534040672,0.9908274503573532,0.85,0.95,FAIL,1.0213584359439103,0.1576078419338269,0.0,120600
B,dlinear_gaussian,gaussian,id,roll_rate,30,3.0,3,0.974315226201002,0.0008152956171479,0.9675871048850576,0.9811599708959624,0.85,0.95,FAIL,2.1375844592689264,0.3297949532703659,0.0,120600
B,dlinear_gaussian,gaussian,id,roll_rate,50,5.0,3,0.9738347639748502,0.0005357010650885,0.9672892720306512,0.9802540386457412,0.85,0.95,FAIL,2.513776717349524,0.3876659342758799,0.0,120600
B,dlinear_gaussian,gaussian,id,roll_rate,100,10.0,3,0.9614026119952844,0.000133606543586,0.9540951729664016,0.9695381576038904,0.85,0.95,FAIL,4.841007258374129,0.7459531168510574,0.0,120600
B,dlinear_gaussian,gaussian,id,roll_rate,150,15.0,3,0.9387372286079182,2.8418663089379264e-05,0.9282567049808428,0.9504879070881228,0.85,0.95,PASS,5.826018707743647,0.8970967651389894,0.0,120600
B,dlinear_quantile,quantile,id,heave,10,1.0,3,0.9335143125552609,0.0054868308380966,0.915961572999558,0.950878647214854,0.85,0.95,PASS,0.047145345070851,0.0188768042896074,0.5492934288731702,542700
B,dlinear_quantile,quantile,id,heave,20,2.0,3,0.9149290205324688,0.0040354810322449,0.8974188586796346,0.9335605359379604,0.85,0.95,PASS,0.2975909208561715,0.1191477909875015,0.2939193130464682,542700
B,dlinear_quantile,quantile,id,heave,30,3.0,3,0.901588902397092,0.0007671150212331,0.8847466866526672,0.918351431255526,0.85,0.95,PASS,0.7101421010177847,0.2843217522571945,0.0924521379801552,542700
B,dlinear_quantile,quantile,id,heave,50,5.0,3,0.9008543938500836,0.0006529800389911,0.8846429574675804,0.9175987902483054,0.85,0.95,PASS,0.8686064992429307,0.3477337503072912,0.0761678455643972,542700
B,dlinear_quantile,quantile,id,heave,100,10.0,3,0.9013578814225366,0.0003430879619017,0.8872694587201592,0.9156079036803714,0.85,0.95,PASS,1.828657204485918,0.7322467866355472,0.00393810172905,542700
B,dlinear_quantile,quantile,id,heave,150,15.0,3,0.8861227772865704,0.0001357584519458,0.8708131861553198,0.901714006778662,0.85,0.95,PASS,2.270090697080292,0.9095266795709264,0.000300097013459,542700
B,dlinear_quantile,quantile,id,heave_rate,10,1.0,3,0.934346295068278,0.0066169494637988,0.9187169586280578,0.9505795479664014,0.85,0.95,PASS,0.0280029695368626,0.0189347220194552,0.6023499668435014,542700
