model,head,regime,dof,horizon_samples,horizon_s,picp_id,picp_ood,picp_delta,width_id,width_ood,width_delta,width_ratio_id,width_ratio_ood
lstm_gaussian,gaussian,unseen_heading,heave_rate,150,15.0,0.9088948447784656,0.6826665193044503,-0.22622832547401528,0.7241456603343875,1.5073046646342685,0.783159004299881,0.4901031251697652,1.0202173507437229
lstm_gaussian,gaussian,unseen_heading,pitch,10,1.0,0.9896132662835248,0.0728116710875331,-0.9168015951959917,0.0594899293239626,0.1579278229035437,0.0984378935795811,0.014568124982041,0.5144414723743569
lstm_gaussian,gaussian,unseen_heading,pitch,20,2.0,0.9780606825326652,0.0929352097455545,-0.8851254727871107,0.0907338762002894,0.2553997401700865,0.1646658639697971,0.0222181457458388,0.8319945817146207
lstm_gaussian,gaussian,unseen_heading,pitch,30,3.0,0.9557583321053148,0.129420866489832,-0.8263374656154828,0.147202707208066,0.4114795262131516,0.2642768190050856,0.0360451654413177,1.340497246432211
lstm_gaussian,gaussian,unseen_heading,pitch,50,5.0,0.937506140092347,0.3549458443854996,-0.5825602957068474,0.3419958540341971,0.8624250803576202,0.5204292263234231,0.0837357610382016,2.8098690251811096
lstm_gaussian,gaussian,unseen_heading,pitch,100,10.0,0.9171785968660968,0.5695905786423028,-0.34758801822379404,1.2750706095837792,2.546658142319433,1.2715875327356538,0.3122776707484506,8.299697489204789
lstm_gaussian,gaussian,unseen_heading,pitch,150,15.0,0.9075524670891052,0.6604197367128402,-0.24713273037626504,2.235200624380424,3.3927220259908624,1.1575214016104383,0.547723300357435,11.055193682830852
lstm_gaussian,gaussian,unseen_heading,pitch_rate,10,1.0,0.9823810050103152,0.0848812506140092,-0.897499754396306,0.0657664300253537,0.1695906063622846,0.10382417633693089,0.021644867555729,0.7838787731850135
lstm_gaussian,gaussian,unseen_heading,pitch_rate,20,2.0,0.9647435897435898,0.1247365900383141,-0.8400069997052757,0.0977544535800845,0.2569934576086037,0.1592390040285192,0.0321685055145701,1.187944135612673
lstm_gaussian,gaussian,unseen_heading,pitch_rate,30,3.0,0.9430306881815502,0.1758147902544454,-0.7672158979271049,0.135979215552523,0.308294836898275,0.17231562134575204,0.0447409819528249,1.4252272057314592
lstm_gaussian,gaussian,unseen_heading,pitch_rate,50,5.0,0.9382882343550448,0.3397607820021613,-0.5985274523528835,0.3727958817313153,1.0073077433953657,0.6345118616640504,0.1226696588032939,4.657606404486363
lstm_gaussian,gaussian,unseen_heading,pitch_rate,100,10.0,0.9151953470380194,0.5945365458296493,-0.3206588012083701,1.2077571635239828,2.3702949766554067,1.162537813131424,0.3974579608633986,10.96261187750713
lstm_gaussian,gaussian,unseen_heading,pitch_rate,150,15.0,0.906580797475194,0.7151948865310934,-0.19138591094410062,1.8484202028200252,3.172080489782267,1.3236602869622418,0.6084856022568692,14.669740167378864
lstm_gaussian,gaussian,unseen_heading,roll,10,1.0,0.9917914640436192,0.0840916347381864,-0.9076998293054328,0.1339051024901903,0.4134655126748985,0.27956041018470823,0.0110524802987657,0.024855035709471
lstm_gaussian,gaussian,unseen_heading,roll,20,2.0,0.9906156363591708,0.0745609833971902,-0.9160546529619806,0.1366414588430849,0.4300382477416988,0.29339678889861387,0.011275658936886,0.0258441511315838
lstm_gaussian,gaussian,unseen_heading,roll,30,3.0,0.9821614967089104,0.0882902298850574,-0.893871266823853,0.1550902384846181,0.5427037005192651,0.38761346203464697,0.0127951417011516,0.0326110699126121
lstm_gaussian,gaussian,unseen_heading,roll,50,5.0,0.9531587705079084,0.130252849002849,-0.8229059215050594,0.2176214471152746,0.6800574487190829,0.4624360016038083,0.0179469658853083,0.0408651070153445
lstm_gaussian,gaussian,unseen_heading,roll,100,10.0,0.9241721620493172,0.3854307888790647,-0.5387413731702525,0.8294067430763709,1.998345100128032,1.168938357051661,0.0683242997050132,0.1199957781266825
lstm_gaussian,gaussian,unseen_heading,roll,150,15.0,0.9135060541310542,0.4653803173199725,-0.44812573681108175,1.89619030511275,3.408674556731642,1.512484251618892,0.1560485801405891,0.2045663414964122
lstm_gaussian,gaussian,unseen_heading,roll_rate,10,1.0,0.9925520679831024,0.0777685676392573,-0.914783500343845,0.0786725754018515,0.273777081676077,0.1951045062742255,0.0121422587385902,0.0304476883820419
lstm_gaussian,gaussian,unseen_heading,roll_rate,20,2.0,0.9651956540426369,0.0844182876510462,-0.8807773663915907,0.0882361250491231,0.3112852733339588,0.22304914828483569,0.0136158911114719,0.0346195082118711
lstm_gaussian,gaussian,unseen_heading,roll_rate,30,3.0,0.9669371377345516,0.0945684743098536,-0.872368663424698,0.1038194155699915,0.3506541611974594,0.2468347456274679,0.0160176685220532,0.0389924561655359
lstm_gaussian,gaussian,unseen_heading,roll_rate,50,5.0,0.9491201247666764,0.2787644906179389,-0.6703556341487376,0.1675288163255758,0.7278361325204908,0.560307316194915,0.0258357135105712,0.080894248654713
lstm_gaussian,gaussian,unseen_heading,roll_rate,100,10.0,0.9171962496315944,0.4877382355830632,-0.42945801404853123,0.6533861540084809,1.464624884718537,0.8112387307100561,0.1006805840348285,0.1627168720669889
lstm_gaussian,gaussian,unseen_heading,roll_rate,150,15.0,0.9075202316042832,0.5087391934374693,-0.3987810381668139,1.2816420265262682,2.19297671769446,0.9113346911681919,0.1973486481488114,0.2435500591335558
lstm_quantile,quantile,unseen_heading,heave,10,1.0,0.9922673212005108,0.1855437665782493,-0.8067235546222614,0.0520269597572923,0.0813521801700286,0.029325220412736296,0.020831382942383,0.0317258031102162
lstm_quantile,quantile,unseen_heading,heave,20,2.0,0.9855201272227134,0.10490409175754,-0.8806160354651734,0.0502746051867032,0.0866607981877461,0.03638619300104289,0.0201286656647013,0.0337931033535651
