control,regime,subject_model,null_model,dof,horizon_samples,horizon_s,skill_subject,skill_null,excess,tol,asserted,enforced,passed
untrained,unseen_seastate,untrained,persistence,pitch,100,10.0,0.18471335961412128,0.0,0.18471335961412128,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,pitch,150,15.0,0.27051614119790024,0.0,0.27051614119790024,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,heave,10,1.0,-3.657890269439833,0.0,-3.657890269439833,0.0,True,False,True
untrained,unseen_seastate,untrained,persistence,heave,20,2.0,-0.16560959578193657,0.0,-0.16560959578193657,0.0,True,False,True
untrained,unseen_seastate,untrained,persistence,heave,30,3.0,0.37368322436828205,0.0,0.37368322436828205,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,heave,50,5.0,0.5724277424094415,0.0,0.5724277424094415,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,heave,100,10.0,0.2810182932374562,0.0,0.2810182932374562,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,heave,150,15.0,0.41907837417387117,0.0,0.41907837417387117,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,roll_rate,10,1.0,-3.1099680345512324,0.0,-3.1099680345512324,0.0,True,False,True
untrained,unseen_seastate,untrained,persistence,roll_rate,20,2.0,-0.3092972904645057,0.0,-0.3092972904645057,0.0,True,False,True
untrained,unseen_seastate,untrained,persistence,roll_rate,30,3.0,0.41988648589327493,0.0,0.41988648589327493,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,roll_rate,50,5.0,0.7823567680610954,0.0,0.7823567680610954,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,roll_rate,100,10.0,0.052541709009869764,0.0,0.052541709009869764,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,roll_rate,150,15.0,0.3578623190581266,0.0,0.3578623190581266,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,pitch_rate,10,1.0,-1.330334781014686,0.0,-1.330334781014686,0.0,True,False,True
untrained,unseen_seastate,untrained,persistence,pitch_rate,20,2.0,0.3948349286764412,0.0,0.3948349286764412,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,pitch_rate,30,3.0,0.07363426981348675,0.0,0.07363426981348675,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,pitch_rate,50,5.0,0.5768710834080508,0.0,0.5768710834080508,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,pitch_rate,100,10.0,0.1529601126527892,0.0,0.1529601126527892,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,pitch_rate,150,15.0,0.46883914618679967,0.0,0.46883914618679967,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,heave_rate,10,1.0,-1.6305222707679867,0.0,-1.6305222707679867,0.0,True,False,True
untrained,unseen_seastate,untrained,persistence,heave_rate,20,2.0,0.09920719578533788,0.0,0.09920719578533788,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,heave_rate,30,3.0,0.24360756380093707,0.0,0.24360756380093707,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,heave_rate,50,5.0,0.6267713473993833,0.0,0.6267713473993833,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,heave_rate,100,10.0,-0.29372237963585346,0.0,-0.29372237963585346,0.0,True,False,True
untrained,unseen_seastate,untrained,persistence,heave_rate,150,15.0,0.04047876570297937,0.0,0.04047876570297937,0.0,True,False,False
