regime,model_a,model_b,seed,dof,horizon_samples,horizon_s,skill_diff,ci_lo,ci_hi,n_realizations,n_boot,ci_level,bootstrap_seed
id,tcn,dlinear_ols,1,roll,50,5.0,0.037144752732935896,0.03333926701684138,0.041279722955873725,384,1000,0.95,0
id,tcn,dlinear_ols,1,roll,100,10.0,0.2927415046120824,0.27787844106996246,0.3098647125061974,384,1000,0.95,0
id,tcn,dlinear_ols,1,roll,150,15.0,0.22759496898581275,0.21536336340179443,0.24082731657940448,384,1000,0.95,0
id,tcn,dlinear_ols,1,pitch,10,1.0,-0.001300192840253187,-0.0013835441826419935,-0.0012165540149475548,384,1000,0.95,0
id,tcn,dlinear_ols,1,pitch,20,2.0,0.001600058384452481,0.0013268922102955142,0.0019234723964481409,384,1000,0.95,0
id,tcn,dlinear_ols,1,pitch,30,3.0,0.02244832870392705,0.020122879974872585,0.02498572501771232,384,1000,0.95,0
id,tcn,dlinear_ols,1,pitch,50,5.0,0.09907053423051827,0.09034575746355779,0.1090902523887005,384,1000,0.95,0
id,tcn,dlinear_ols,1,pitch,100,10.0,0.32546485388217783,0.3044326908427038,0.3469885422386487,384,1000,0.95,0
id,tcn,dlinear_ols,1,pitch,150,15.0,0.21182888322449067,0.19175681489783547,0.23336732304688254,384,1000,0.95,0
id,tcn,dlinear_ols,1,heave,10,1.0,-0.0016869954838367193,-0.0017959396546841629,-0.0015841197411643464,384,1000,0.95,0
id,tcn,dlinear_ols,1,heave,20,2.0,0.002032012978513859,0.0016452989687725527,0.002437352722114028,384,1000,0.95,0
id,tcn,dlinear_ols,1,heave,30,3.0,0.02114630501304312,0.017964957894024046,0.024459403736118965,384,1000,0.95,0
id,tcn,dlinear_ols,1,heave,50,5.0,0.10514129027074802,0.08704177747838328,0.12412266935728986,384,1000,0.95,0
id,tcn,dlinear_ols,1,heave,100,10.0,0.4987310996757505,0.46297048167681865,0.5326676813527457,384,1000,0.95,0
id,tcn,dlinear_ols,1,heave,150,15.0,0.2742374285529785,0.24378580931531157,0.30807851257280666,384,1000,0.95,0
id,tcn,dlinear_ols,1,roll_rate,10,1.0,-0.004332961460788842,-0.005254461870167726,-0.0036916413570513684,384,1000,0.95,0
id,tcn,dlinear_ols,1,roll_rate,20,2.0,-0.0012306942731383035,-0.001695485897646333,-0.0009152681982957877,384,1000,0.95,0
id,tcn,dlinear_ols,1,roll_rate,30,3.0,0.007112993303211773,0.006605490700453642,0.007638838702857954,384,1000,0.95,0
id,tcn,dlinear_ols,1,roll_rate,50,5.0,0.033445987993396466,0.031109181391785257,0.03612683898075896,384,1000,0.95,0
id,tcn,dlinear_ols,1,roll_rate,100,10.0,0.29923727433239833,0.2853862469740244,0.3151755160301564,384,1000,0.95,0
id,tcn,dlinear_ols,1,roll_rate,150,15.0,0.2114290840917804,0.20369334430156813,0.21982576052805614,384,1000,0.95,0
id,tcn,dlinear_ols,1,pitch_rate,10,1.0,-0.0033137254473017993,-0.0035709366589704162,-0.003047645232653017,384,1000,0.95,0
id,tcn,dlinear_ols,1,pitch_rate,20,2.0,0.006785305262619083,0.004964956317482309,0.008816376357297234,384,1000,0.95,0
id,tcn,dlinear_ols,1,pitch_rate,30,3.0,0.05963947438355599,0.048999146264355566,0.07162765567166084,384,1000,0.95,0
id,tcn,dlinear_ols,1,pitch_rate,50,5.0,0.16162757958192397,0.14256880134469752,0.1841733364587979,384,1000,0.95,0
id,tcn,dlinear_ols,1,pitch_rate,100,10.0,0.27525356307388443,0.26412564477755257,0.2876214126139764,384,1000,0.95,0
id,tcn,dlinear_ols,1,pitch_rate,150,15.0,0.18113954740643076,0.16819787173870263,0.19530615117188274,384,1000,0.95,0
id,tcn,dlinear_ols,1,heave_rate,10,1.0,-0.0029794165344837536,-0.0031254708529938465,-0.002843215053157482,384,1000,0.95,0
id,tcn,dlinear_ols,1,heave_rate,20,2.0,0.0004184881310607183,0.0002875099555324132,0.0005627466036540858,384,1000,0.95,0
id,tcn,dlinear_ols,1,heave_rate,30,3.0,0.014606125268184908,0.013272894043947119,0.016003450828389096,384,1000,0.95,0
id,tcn,dlinear_ols,1,heave_rate,50,5.0,0.07665507323463482,0.06851333261869332,0.08524021080851318,384,1000,0.95,0
id,tcn,dlinear_ols,1,heave_rate,100,10.0,0.4185667753760725,0.3934486901021397,0.44337374490530723,384,1000,0.95,0
id,tcn,dlinear_ols,1,heave_rate,150,15.0,0.21863237301256114,0.20071205432145625,0.23748860680926082,384,1000,0.95,0
id,tcn,dlinear_ols,2,roll,10,1.0,-0.0023102801406187186,-0.0027872458397521756,-0.0019824179874076524,384,1000,0.95,0
id,tcn,dlinear_ols,2,roll,20,2.0,0.00047461914880598133,0.0003044546097805142,0.0006110964032370923,384,1000,0.95,0
id,tcn,dlinear_ols,2,roll,30,3.0,0.008280642001869816,0.007445436563128679,0.009085759197147023,384,1000,0.95,0
id,tcn,dlinear_ols,2,roll,50,5.0,0.03717159219172884,0.03337342185499653,0.04131984481698293,384,1000,0.95,0
id,tcn,dlinear_ols,2,roll,100,10.0,0.29289110263304324,0.27806486554079235,0.31014378862561565,384,1000,0.95,0
id,tcn,dlinear_ols,2,roll,150,15.0,0.22754428043518454,0.21530848341728884,0.24061096220882136,384,1000,0.95,0
id,tcn,dlinear_ols,2,pitch,10,1.0,-0.0011300240796806838,-0.001206517240117727,-0.0010560878158896532,384,1000,0.95,0
id,tcn,dlinear_ols,2,pitch,20,2.0,0.0017746875864844112,0.0014947339165908675,0.0020914156295869465,384,1000,0.95,0
id,tcn,dlinear_ols,2,pitch,30,3.0,0.022689890539131674,0.020396487932148235,0.02521616768372357,384,1000,0.95,0
id,tcn,dlinear_ols,2,pitch,50,5.0,0.09931728610568093,0.09059464367944048,0.10929490646887827,384,1000,0.95,0
id,tcn,dlinear_ols,2,pitch,100,10.0,0.3280662457164733,0.30744809925328376,0.3489858844249291,384,1000,0.95,0
id,tcn,dlinear_ols,2,pitch,150,15.0,0.21400047231802471,0.19354144853334165,0.23578683148506502,384,1000,0.95,0
id,tcn,dlinear_ols,2,heave,10,1.0,-0.002010949889903351,-0.002119198270952665,-0.0019203381640981992,384,1000,0.95,0
id,tcn,dlinear_ols,2,heave,20,2.0,0.0019073740612968006,0.0015264800569426073,0.0023085246691719862,384,1000,0.95,0
id,tcn,dlinear_ols,2,heave,30,3.0,0.021175827422119615,0.017995872970630888,0.024508128958289365,384,1000,0.95,0
id,tcn,dlinear_ols,2,heave,50,5.0,0.10546405412881588,0.0873218559779095,0.12442832016416042,384,1000,0.95,0
id,tcn,dlinear_ols,2,heave,100,10.0,0.501565358244758,0.4658931047052667,0.5353630655015925,384,1000,0.95,0
id,tcn,dlinear_ols,2,heave,150,15.0,0.2760431709889017,0.2454983053078783,0.3099346503219777,384,1000,0.95,0
id,tcn,dlinear_ols,2,roll_rate,10,1.0,-0.00507876816695404,-0.0060884093338130435,-0.004393120112665551,384,1000,0.95,0
id,tcn,dlinear_ols,2,roll_rate,20,2.0,-0.001015295696796869,-0.0014093573950871964,-0.0007437538519973418,384,1000,0.95,0
id,tcn,dlinear_ols,2,roll_rate,30,3.0,0.007146437248901107,0.0066236885072060445,0.007669747817697944,384,1000,0.95,0
id,tcn,dlinear_ols,2,roll_rate,50,5.0,0.03356113059006889,0.03122649904126655,0.03625705034509745,384,1000,0.95,0
id,tcn,dlinear_ols,2,roll_rate,100,10.0,0.3004051709999174,0.28643690154477364,0.3166225223043089,384,1000,0.95,0
id,tcn,dlinear_ols,2,roll_rate,150,15.0,0.21205978112825782,0.2042635943102431,0.22038022862956302,384,1000,0.95,0
id,tcn,dlinear_ols,2,pitch_rate,10,1.0,-0.002748541164693325,-0.0029426617985360824,-0.00255325111229842,384,1000,0.95,0
id,tcn,dlinear_ols,2,pitch_rate,20,2.0,0.006911108438033358,0.005073736230202852,0.008966603140109546,384,1000,0.95,0
id,tcn,dlinear_ols,2,pitch_rate,30,3.0,0.059837646081482884,0.04917139131831795,0.07183142056162281,384,1000,0.95,0
id,tcn,dlinear_ols,2,pitch_rate,50,5.0,0.16261018717096024,0.143617970406163,0.18508776536372729,384,1000,0.95,0
id,tcn,dlinear_ols,2,pitch_rate,100,10.0,0.27693799402762853,0.265913515025984,0.28924533725531804,384,1000,0.95,0
id,tcn,dlinear_ols,2,pitch_rate,150,15.0,0.18409728799043104,0.17098903491899925,0.19828577508104112,384,1000,0.95,0
id,tcn,dlinear_ols,2,heave_rate,10,1.0,-0.003062174282164169,-0.003226642898748653,-0.00290843094957082,384,1000,0.95,0
id,tcn,dlinear_ols,2,heave_rate,20,2.0,0.0004902021237879946,0.00036055103435620703,0.0006389124355448098,384,1000,0.95,0
id,tcn,dlinear_ols,2,heave_rate,30,3.0,0.01457054520487092,0.013278266748771885,0.015941229252767832,384,1000,0.95,0
id,tcn,dlinear_ols,2,heave_rate,50,5.0,0.07686822579315344,0.06869979612432224,0.08545007617239042,384,1000,0.95,0
id,tcn,dlinear_ols,2,heave_rate,100,10.0,0.42136621836737964,0.3964346442443486,0.4457733447954482,384,1000,0.95,0
id,tcn,dlinear_ols,2,heave_rate,150,15.0,0.22079182403298236,0.20293039414001432,0.23964664424583013,384,1000,0.95,0
id,tcn,damped_persistence,0,roll,10,1.0,1.62259002190372,1.5984443148433791,1.6452865552320035,384,1000,0.95,0
id,tcn,damped_persistence,0,roll,20,2.0,0.9583494712222737,0.9439951796213553,0.9716105071554304,384,1000,0.95,0
id,tcn,damped_persistence,0,roll,30,3.0,0.5924156578475968,0.5840349427389488,0.6001970574169104,384,1000,0.95,0
id,tcn,damped_persistence,0,roll,50,5.0,0.269951909573199,0.26732130033004875,0.27253704672480766,384,1000,0.95,0
id,tcn,damped_persistence,0,roll,100,10.0,0.8894514828076174,0.8536252035585821,0.9282309945739207,384,1000,0.95,0
id,tcn,damped_persistence,0,roll,150,15.0,0.5764352163094152,0.5515926203639392,0.6022487533884983,384,1000,0.95,0
id,tcn,damped_persistence,0,pitch,10,1.0,1.259084224253297,1.2175917604610258,1.3018832939155296,384,1000,0.95,0
id,tcn,damped_persistence,0,pitch,20,2.0,0.6865611952722758,0.6649452528572848,0.7087959956813229,384,1000,0.95,0
id,tcn,damped_persistence,0,pitch,30,3.0,0.43688695745118045,0.4243179975255753,0.44978729989664284,384,1000,0.95,0
id,tcn,damped_persistence,0,pitch,50,5.0,0.29505014957571063,0.2906269342667959,0.300037109029225,384,1000,0.95,0
id,tcn,damped_persistence,0,pitch,100,10.0,0.4606355847916013,0.43068509974664587,0.4918342044598338,384,1000,0.95,0
id,tcn,damped_persistence,0,pitch,150,15.0,0.2104133910139499,0.18394016432564703,0.23850791149086176,384,1000,0.95,0
id,tcn,damped_persistence,0,heave,10,1.0,1.4665613163158382,1.411314343185943,1.5200592091208864,384,1000,0.95,0
id,tcn,damped_persistence,0,heave,20,2.0,0.8789042064423336,0.8460378291052157,0.9102831258569984,384,1000,0.95,0
id,tcn,damped_persistence,0,heave,30,3.0,0.5677422664141076,0.54698011313843,0.5875531425864637,384,1000,0.95,0
id,tcn,damped_persistence,0,heave,50,5.0,0.3037086662675569,0.29475231881205227,0.3126617959014826,384,1000,0.95,0
id,tcn,damped_persistence,0,heave,100,10.0,0.6401223860075977,0.5896827583746412,0.7007885779684117,384,1000,0.95,0
id,tcn,damped_persistence,0,heave,150,15.0,0.3570632661381717,0.32000673699608906,0.3946179267888941,384,1000,0.95,0
id,tcn,damped_persistence,0,roll_rate,10,1.0,1.5825319389140453,1.5537804051580162,1.6089557736794717,384,1000,0.95,0
id,tcn,damped_persistence,0,roll_rate,20,2.0,0.9234056737771665,0.9080615708313063,0.937529101713947,384,1000,0.95,0
id,tcn,damped_persistence,0,roll_rate,30,3.0,0.5684856706449273,0.560599213226762,0.5757975213840679,384,1000,0.95,0
id,tcn,damped_persistence,0,roll_rate,50,5.0,0.2642079575273362,0.26235203045342825,0.26615524975867405,384,1000,0.95,0
id,tcn,damped_persistence,0,roll_rate,100,10.0,0.958850891501157,0.9228266654363982,0.9960140110482247,384,1000,0.95,0
id,tcn,damped_persistence,0,roll_rate,150,15.0,0.5122157602176243,0.48870118702626586,0.5358540732756778,384,1000,0.95,0
id,tcn,damped_persistence,0,pitch_rate,10,1.0,1.1415838948999553,1.1157634151728053,1.1698709714033348,384,1000,0.95,0
id,tcn,damped_persistence,0,pitch_rate,20,2.0,0.5876276139165327,0.5750979876540847,0.6015338755080633,384,1000,0.95,0
id,tcn,damped_persistence,0,pitch_rate,30,3.0,0.3781637384717314,0.3714475645066782,0.38523947931627883,384,1000,0.95,0
id,tcn,damped_persistence,0,pitch_rate,50,5.0,0.3061010324566102,0.30072567242901393,0.31263642353718946,384,1000,0.95,0
id,tcn,damped_persistence,0,pitch_rate,100,10.0,0.3315611537186879,0.3108566527369198,0.3532465934099103,384,1000,0.95,0
